exercise_id,exercise_name_he,location,level,borrowed_from_method,borrowed_from_location
1Ievv4bUCLrhl4kSJjt1,חתירות ב-60°,home,1,חתירות ב-60° באמצעות רצועות trx מתכווננות,park
1Ievv4bUCLrhl4kSJjt1,חתירות ב-60°,home,1,חתירות ב-60° באמצעות רצועות trx מתכווננות,park
1Ievv4bUCLrhl4kSJjt1,חתירות ב-60°,home,1,חתירות ב-60° באמצעות רצועות trx מתכווננות,park
50zThi9jcQWm6wbWDM4I,סקוואט טווח חלקי (להגבהה),home,1,סקוואט טווח חלקי בפארק,park
6kRZiBHmQI34xaUcysBi,גוד מורנינג בישיבה,home,1,גוד מורנינג בישיבה בפארק,park
A7E66cGMdurMPAH6eBar,דדליפט רומני,home,1,דדליפט רומני בפארק,park
B0pnjy0oT9jTizikeLSb,עליות תאומים,home,1,עליות תאומים בפארק,park
DnRgN3J7j5k6aTKX7lj3,תלייה פסיבית בתמיכת הרגליים,home,1,תלייה פאסיבית בתמיכת הרגליים בפארק,park
HQdH6XZltGsDSkUBBdGH,סקוואט בעזרת רצועות,home,1,סקוואט בעזרת רצועות בפארק,park
IvNc2jSwqscdwDfcBlwc,היפ טראסט,home,1,היפ טארסט בפארק,park
JA9KlPvSiSUaFY0jDF1S,חתירות באחיזה עמוקה,home,1,חתירות חתירות בתפיסה עמוקה בפארק,park
PnlKBGNsM3XSPN7LG3OH,בננה סופרמן על המתח,home,1,בננה סופרמן בפארק,park
RxpMhnXQBW80jq1no41f,שולחן הפוך,home,1,שולחן הפוך בפארק,park
gkc3KYN1tG5wX59OJbsM,חתירות ב-75°,home,1,חתירות ב-75° באמצעות רצועות trx מתכווננות ,park
gkc3KYN1tG5wX59OJbsM,חתירות ב-75°,home,1,חתירות ב-75° באמצעות רצועות trx מתכווננות ,park
gkc3KYN1tG5wX59OJbsM,חתירות ב-75°,home,1,חתירות ב-75° באמצעות רצועות trx מתכווננות ,park
iEZGhtBNV7Tv5iNuT70E,פלאנק על הברכיים,home,1,פלאנק על הברכיים בפארק,park
qKejKkdy3IZhYj4CKxJ8,לאנג׳ קדמי,home,1,לאנג׳ קדמי בפארק,park
rzu4LvBRjd2qOH5bvIZm,שכיבות סמיכה ב-75°,home,1,שכיבות סמיכה ב-75° על סולם בפארק,park
w2uCZ8u7q5i09EFxzOCB,שכיבות סמיכה ב-60°,home,1,שכיבות סמיכה ב-60° על סולם בפארק,park
xAkMGXWV55BfE3oVS2K0,עליית מדרגה גובה קרסול,home,1,עליית מדרגה בפארק,park
xNeEudyiKRcylBmrjGcl,פשיטת מרפקים על הרצפה,home,1,פשיטת מרפק על הרצפה בפארק,park
FHh3m3suMMtoLk1PrxYv,פלאנק,home,2,פלאנק בפארק,park
Xk0WZ34nEX802B0FxkpA,תלייה פסיבית,home,2,תלייה פסיבית בפארק,park
dGG8JVTj1NeSAEDhxvJT,שכיבות סמיכה ב-45°,home,2,שכיבות סמיכה ב-45° על מדרגה בפארק,park
j7vOGJMwlJR4K7MaaF24,היפ טראסט רגל אחת,home,2,היפ טארסט רגל אחת בפארק,park
lNwM1Ft8IFxFtgXjQSIF,חתירות ב-45°,home,2,חתירות ב-45° באמצעות רצועות trx מתכווננות,park
lNwM1Ft8IFxFtgXjQSIF,חתירות ב-45°,home,2,חתירות ב-45° באמצעות רצועות trx מתכווננות,park
lNwM1Ft8IFxFtgXjQSIF,חתירות ב-45°,home,2,חתירות ב-45° באמצעות רצועות trx מתכווננות,park
34JqI5TOOlCgFOW12311,סקוואט,home,3,סקוואט בפארק,park
34giCNuppaFW74zpfFCA,עליית מדרגה גובה ברך,home,3,עליית מדרגה גובה ברך בפארק,park
BWbscvj0m3hvxghEMtKV,פלאנק עליות ונגיעות בכתפיים,home,3,פלאנק עליות ונגיעות בכתפיים בפארק,park
E2O0vrcD8KuY0kvaYZhn,שכיבות סמיכה ב-30°,home,3,שכיבות סמיכה ב-30° על מדרגה בפארק,park
LL5swCTdRecKz2MLTkEJ,חתירות ב-30°,home,3,חתירות ב-30° באמצעות רצועות trx מתכווננות,park
LL5swCTdRecKz2MLTkEJ,חתירות ב-30°,home,3,חתירות ב-30° באמצעות רצועות trx מתכווננות,park
LL5swCTdRecKz2MLTkEJ,חתירות ב-30°,home,3,חתירות ב-30° באמצעות רצועות trx מתכווננות,park
XWL3TUAVmN0Dmp2btFgN,ישיבת L בתמיכת הרגליים,home,3,ישיבת L בתמיכת הרגליים בפארק,park
ePHjx7haP7HrTU7YOgop,קפיצה גובה שוק,home,3,קפיצת מדרגה גובה שוק בפארק,park
kF3kYAMIEf2jyAHwS7qf,פשיטת מרפקים על ספסל,home,3,פשיטת מרפק על ספסל בפארק,park
rUIkmXn3wSpWdt3QbZ2C,החזקת חתירה ב-90° מעלות במרפק,home,3,החזקת חתירה ב-90° מעלות במרפק באמצעות רצועות trx מתכווננות,park
rUIkmXn3wSpWdt3QbZ2C,החזקת חתירה ב-90° מעלות במרפק,home,3,החזקת חתירה ב-90° מעלות במרפק באמצעות רצועות trx מתכווננות,park
rUIkmXn3wSpWdt3QbZ2C,החזקת חתירה ב-90° מעלות במרפק,home,3,החזקת חתירה ב-90° מעלות במרפק באמצעות רצועות trx מתכווננות,park
uPBc9pfM6jOLg5LwuShN,סקוואט קפיצה,home,3,סקוואט קפיצה בפארק,park
0AoeD3sBQjqWvchrHPYp,שכיבות סמיכה ברכיים,home,4,שכיבות סמיכה ברכיים בפארק,park
