exercise_id,name_he,method_index,location,previewVideo_langs,fullTutorial_langs,mainVideoUrl_present,mainVideoUrl_provider,has_any_real_video_for_method,gap_method_declared_no_video,root_media_fallback_langs
"1OEFeykCym2378rgD4QK","כפיפות בטן","0","park","he","","empty","","true","false",""
"1OEFeykCym2378rgD4QK","כפיפות בטן","1","home","he","","full","bunny","true","false",""
"3sR44gVtDlzdot9Yq7MQ","גליל בטן אקצנטרי","0","park","","","empty","","false","true",""
"3sR44gVtDlzdot9Yq7MQ","גליל בטן אקצנטרי","1","home","he","","full","bunny","true","false",""
"5cdQOV3Kl5EpnyUt1JuG","כפיפות בטן חצי טווח","0","park","he","","empty","","true","false",""
"5cdQOV3Kl5EpnyUt1JuG","כפיפות בטן חצי טווח","1","home","he","","full","bunny","true","false",""
"5LGfy2EB72CeLhQDcnY6","דרגון פלאג בטאק","0","park","","","full","bunny","true","false",""
"5LGfy2EB72CeLhQDcnY6","דרגון פלאג בטאק","1","home","","","empty","","false","true",""
"5LGfy2EB72CeLhQDcnY6","דרגון פלאג בטאק","2","gym","","","empty","","false","true",""
"5LGfy2EB72CeLhQDcnY6","דרגון פלאג בטאק","3","airport","","","empty","","false","true",""
"6OPvBxXMTy0mHYNra4Wc","סיבובי רגליים בשכיבה","0","park","he","","empty","","true","false",""
"6OPvBxXMTy0mHYNra4Wc","סיבובי רגליים בשכיבה","1","home","he","","full","bunny","true","false",""
"8YpK2KnydcB6Oz1zTMSh","פלאנק רגל ויד נגדית","0","park","he","he","empty","","true","false",""
"8YpK2KnydcB6Oz1zTMSh","פלאנק רגל ויד נגדית","1","home","he","","full","bunny","true","false",""
"Ao3amXO9YEBEOSE48RRi","ישיבת L ברכיים כפופות","0","park","","he","full","bunny","true","false",""
"Ao3amXO9YEBEOSE48RRi","ישיבת L ברכיים כפופות","1","home","he","","full","bunny","true","false",""
"Ao3amXO9YEBEOSE48RRi","ישיבת L ברכיים כפופות","2","street","","","empty","","false","true",""
"Ao3amXO9YEBEOSE48RRi","ישיבת L ברכיים כפופות","3","office","","","empty","","false","true",""
"Ao3amXO9YEBEOSE48RRi","ישיבת L ברכיים כפופות","4","home","","","empty","","false","true",""
"BcsFnuiLx1fZY2SIVhoC","אופניים","0","park","","","empty","","false","true",""
"BcsFnuiLx1fZY2SIVhoC","אופניים","1","home","he","","full","bunny","true","false",""
"BLbgAyNJSZCc4YsoOxtP","החזקת הולו באדי","0","park","he","","empty","","true","false",""
"BLbgAyNJSZCc4YsoOxtP","החזקת הולו באדי","1","home","he","","full","bunny","true","false",""
"bRUKaSg9p9Tl1rCzEiV4","עליות ברכיים כפופות בתלייה","0","park","he","","empty","","true","false",""
"bRUKaSg9p9Tl1rCzEiV4","עליות ברכיים כפופות בתלייה","1","home","he","","full","bunny","true","false",""
"CVMlbYHJTiJKSPYkZ9Lk","רגליים למתח","0","park","he","","empty","","true","false",""
"CVMlbYHJTiJKSPYkZ9Lk","רגליים למתח","1","home","he","","full","bunny","true","false",""
"DU3SwZWr6uy75WI7T4jB","עליות נגיעה בבהונות בשכיבה","0","park","","","empty","","false","true",""
"DU3SwZWr6uy75WI7T4jB","עליות נגיעה בבהונות בשכיבה","1","home","he","","full","bunny","true","false",""
"FHh3m3suMMtoLk1PrxYv","פלאנק","0","park","","he","full","bunny","true","false",""
"FHh3m3suMMtoLk1PrxYv","פלאנק","1","home","he","","full","bunny","true","false",""
"FHh3m3suMMtoLk1PrxYv","פלאנק","2","office","","","empty","","false","true",""
"ggzAxOz0vT3SOObT3Y7q","קופנהגן פלאנק","0","park","","","full","bunny","true","false",""
"ggzAxOz0vT3SOObT3Y7q","קופנהגן פלאנק","1","home","he","","full","bunny","true","false",""
"ggzAxOz0vT3SOObT3Y7q","קופנהגן פלאנק","2","office","","","empty","","false","true",""
"ggzAxOz0vT3SOObT3Y7q","קופנהגן פלאנק","3","street","","","empty","","false","true",""
"IEoGYRVKRxjaA0fQZNDw","ישיבת L רגל אחת","0","park","","he","full","bunny","true","false",""
"IEoGYRVKRxjaA0fQZNDw","ישיבת L רגל אחת","1","home","he","","full","bunny","true","false",""
"IEoGYRVKRxjaA0fQZNDw","ישיבת L רגל אחת","2","street","","","empty","","false","true",""
"IEoGYRVKRxjaA0fQZNDw","ישיבת L רגל אחת","3","office","","","empty","","false","true",""
"IEoGYRVKRxjaA0fQZNDw","ישיבת L רגל אחת","4","home","","","empty","","false","true",""
"iEZGhtBNV7Tv5iNuT70E","פלאנק על הברכיים","0","park","","he","full","bunny","true","false",""
"iEZGhtBNV7Tv5iNuT70E","פלאנק על הברכיים","1","home","he","","full","bunny","true","false",""
"iEZGhtBNV7Tv5iNuT70E","פלאנק על הברכיים","2","office","","","empty","","false","true",""
"iuwmGaZnuvhZ1mZFXJyt","גליל בטן עם תמיכת הברכיים","0","park","","","empty","","false","true",""
"iuwmGaZnuvhZ1mZFXJyt","גליל בטן עם תמיכת הברכיים","1","home","he","","full","bunny","true","false",""
"lGZxrjALhrrGWxnwNOTW","ספר ברכיים כפופת","0","park","he","","empty","","true","false",""
"lGZxrjALhrrGWxnwNOTW","ספר ברכיים כפופת","1","home","he","","full","bunny","true","false",""
"LxyBLJUs5ryW7fgrDPba","דרגון פלאג בפישוק","0","park","","","full","bunny","true","false",""
"LxyBLJUs5ryW7fgrDPba","דרגון פלאג בפישוק","1","home","","","empty","","false","true",""
"LxyBLJUs5ryW7fgrDPba","דרגון פלאג בפישוק","2","gym","","","empty","","false","true",""
"LxyBLJUs5ryW7fgrDPba","דרגון פלאג בפישוק","3","airport","","","empty","","false","true",""
"Ma6QH3kwbEZoIiME7r0K","ישיבת L","0","park","","","full","bunny","true","false",""
"Ma6QH3kwbEZoIiME7r0K","ישיבת L","1","home","he","","full","bunny","true","false",""
"Ma6QH3kwbEZoIiME7r0K","ישיבת L","2","street","","","empty","","false","true",""
"Ma6QH3kwbEZoIiME7r0K","ישיבת L","3","office","","","empty","","false","true",""
"Ma6QH3kwbEZoIiME7r0K","ישיבת L","4","home","he","","full","bunny","true","false",""
"mIEhyPgMAxSryv46CZ2f","פלאנק גבוה טבעות","0","park","","he","full","bunny","true","false",""
"mIEhyPgMAxSryv46CZ2f","פלאנק גבוה טבעות","1","home","","","empty","","false","true",""
"mIEhyPgMAxSryv46CZ2f","פלאנק גבוה טבעות","2","office","","","empty","","false","true",""
"mMW69g4YfMnlNGuLQgne","הרמות רגליים בישיבת פייק/L","0","park","","he","full","bunny","true","false",""
"mMW69g4YfMnlNGuLQgne","הרמות רגליים בישיבת פייק/L","1","home","he","","full","bunny","true","false",""
"mMW69g4YfMnlNGuLQgne","הרמות רגליים בישיבת פייק/L","2","street","","","empty","","false","true",""
"mMW69g4YfMnlNGuLQgne","הרמות רגליים בישיבת פייק/L","3","office","","","empty","","false","true",""
"mMW69g4YfMnlNGuLQgne","הרמות רגליים בישיבת פייק/L","4","airport","","","empty","","false","true",""
"nNc7TeLC8LtaVQJeK4Tf","כפיפות ברכים בפלאנק על trx","0","park","","","empty","","false","true",""
"nNc7TeLC8LtaVQJeK4Tf","כפיפות ברכים בפלאנק על trx","1","home","he","","full","bunny","true","false",""
"OSXBFYoP1sWt4P05isJw","כפיפות בטן אלכוסונים","0","park","he","","empty","","true","false",""
"OSXBFYoP1sWt4P05isJw","כפיפות בטן אלכוסונים","1","home","he","","full","bunny","true","false",""
"ovwmeDEgpucFfaVQGpR7","מספרים בשכיבה","0","park","he","","empty","","true","false",""
"ovwmeDEgpucFfaVQGpR7","מספרים בשכיבה","1","home","he","","full","bunny","true","false",""
"PBpgwYAqyAPwGd276lny","ישיבת L על הרצפה","0","park","","","full","bunny","true","false",""
"PBpgwYAqyAPwGd276lny","ישיבת L על הרצפה","1","home","","","empty","","false","true",""
"PBpgwYAqyAPwGd276lny","ישיבת L על הרצפה","2","street","","","empty","","false","true",""
"PBpgwYAqyAPwGd276lny","ישיבת L על הרצפה","3","office","","","empty","","false","true",""
"PMZewv23o1W4ZP01jo95","הרמות רגל אחת בישיבת L","0","park","","he","full","bunny","true","false",""
"PMZewv23o1W4ZP01jo95","הרמות רגל אחת בישיבת L","1","home","","","empty","","false","true",""
"PMZewv23o1W4ZP01jo95","הרמות רגל אחת בישיבת L","2","street","","","empty","","false","true",""
"PMZewv23o1W4ZP01jo95","הרמות רגל אחת בישיבת L","3","office","","","empty","","false","true",""
"qhIpGmdbCe3uv5bKRPQK","מספריים אופקיים בשכיבה","0","park","he","","empty","","true","false",""
"qhIpGmdbCe3uv5bKRPQK","מספריים אופקיים בשכיבה","1","home","he","","full","bunny","true","false",""
"qnSex7AN2TXhTiytUXX8","דרגון פלאג בטאק מתקדם","0","park","","","full","bunny","true","false",""
"qnSex7AN2TXhTiytUXX8","דרגון פלאג בטאק מתקדם","1","home","","","empty","","false","true",""
"qnSex7AN2TXhTiytUXX8","דרגון פלאג בטאק מתקדם","2","gym","","","empty","","false","true",""
"qnSex7AN2TXhTiytUXX8","דרגון פלאג בטאק מתקדם","3","airport","","","empty","","false","true",""
"qRoLtKTPXF3CJsQ9hMTg","פינגווינים","0","park","he","","empty","","true","false",""
"qRoLtKTPXF3CJsQ9hMTg","פינגווינים","1","home","he","","full","bunny","true","false",""
"tWZ1PnXwUFZKOZFqvyp9","מטפס הרים","0","park","he","","empty","","true","false",""
"tWZ1PnXwUFZKOZFqvyp9","מטפס הרים","1","home","he","","full","bunny","true","false",""
"tXXikNYiAIcK3yPgybF1","עליות רגליים בשכיבה","0","park","","","empty","","false","true",""
"tXXikNYiAIcK3yPgybF1","עליות רגליים בשכיבה","1","home","he","","full","bunny","true","false",""
"uRelXXhk4iDsccOxuTsj","קראנץ","0","park","he","","empty","","true","false",""
"uRelXXhk4iDsccOxuTsj","קראנץ","1","home","he","","full","bunny","true","false",""
"wBv3BWfJD0S9sSUnI1Ay","עליות l בתלייה","0","park","he","","empty","","true","false",""
"wBv3BWfJD0S9sSUnI1Ay","עליות l בתלייה","1","home","he","","full","bunny","true","false",""
"wDUc5pDs5ufm3B5a0MqY","כפיפות ברכיים בתלייה אלכסונים","0","park","he","","empty","","true","false",""
"wDUc5pDs5ufm3B5a0MqY","כפיפות ברכיים בתלייה אלכסונים","1","home","he","","full","bunny","true","false",""
"wv8E2f5tcgx3A5nHaUbg","תלייה מספרים","0","park","","","empty","","false","true",""
"wv8E2f5tcgx3A5nHaUbg","תלייה מספרים","1","home","he","","full","bunny","true","false",""
"XWL3TUAVmN0Dmp2btFgN","ישיבת L בתמיכת הרגליים","0","park","","he","full","bunny","true","false",""
"XWL3TUAVmN0Dmp2btFgN","ישיבת L בתמיכת הרגליים","1","home","","","empty","","false","true",""
"XWL3TUAVmN0Dmp2btFgN","ישיבת L בתמיכת הרגליים","2","street","","","empty","","false","true",""
"XWL3TUAVmN0Dmp2btFgN","ישיבת L בתמיכת הרגליים","3","office","","","empty","","false","true",""
"Z3DNlwJAulyI28a8Kji7","עליות ספר רגליים ישרות","0","park","","","empty","","false","true",""
"Z3DNlwJAulyI28a8Kji7","עליות ספר רגליים ישרות","1","home","he","","full","bunny","true","false",""
"zOl1jxCkmI36QwSzMDKF","עליות מספרים בשכיבה","0","park","he","","empty","","true","false",""
"zOl1jxCkmI36QwSzMDKF","עליות מספרים בשכיבה","1","home","he","","full","bunny","true","false",""
