exercise_id,name,lang,missing_fields,suspicious_values,is_core_by_canonical,is_core_by_trio_detector
01HnnltgrzYyUMECUELx,דדליפט רגל אחת כנגד גומייה,he,mechanicalType,,false,false
0XUsTtJ7pSclRqgJAqFJ,מקבילים אקצנטרי,he,injuryShield,,false,false
0vBLmiJuZnq6djGSa5LD,דגל פלאנק צידי,he,injuryShield,,true,true
1Ievv4bUCLrhl4kSJjt1,חתירות ב-60°,he,injuryShield,,false,false
1OEFeykCym2378rgD4QK,כפיפות בטן,he,mechanicalType; injuryShield; noiseLevel; sweatLevel; symmetry,,true,true
1hY3tAPGhB41EGXkdGaT,הליכות היפ טראסט,he,mechanicalType; injuryShield,,false,false
24acSdN3XiV2NZ7UnSkZ,מתיחת המסתרינג בשכיבה,he,targetPrograms; movementGroup; primaryMuscle; mechanicalType; injuryShield; noiseLevel; sweatLevel; symmetry; secondsPerRep,,false,false
34JqI5TOOlCgFOW12311,סקוואט,he,mechanicalType,,false,false
34LJ5pJYnk5GPr77xlG9,חימום סיבובי מפרקים,he,targetPrograms; movementGroup; primaryMuscle; mechanicalType; injuryShield; noiseLevel; sweatLevel; symmetry; secondsPerRep,,false,false
34giCNuppaFW74zpfFCA,עליית מדרגה גובה ברך,he,mechanicalType,,false,false
3O5BDlJVD34kjYm3Emo8,דדליפט רגל אחת,he,mechanicalType,,false,false
3dIrpJQHp5QbimPVTZDk,חצי סמוך קום,he,targetPrograms; movementGroup; primaryMuscle; mechanicalType; injuryShield; noiseLevel; sweatLevel; symmetry; secondsPerRep,,false,false
3gE45P8fG6iXVuZ48QGk,שכיבות סמיכה טווח תחתון,he,primaryMuscle,,false,false
3sR44gVtDlzdot9Yq7MQ,גליל בטן אקצנטרי,he,mechanicalType; injuryShield; noiseLevel; sweatLevel; symmetry,,true,true
4GVlUbVr5r9gNdUCKagI,הליכות דוב,he,targetPrograms; movementGroup; primaryMuscle; mechanicalType; injuryShield; noiseLevel; sweatLevel; symmetry; secondsPerRep,,false,false
