programId,level,location,exercise_count,count_within_tolerance_3,flag
core,1,airport,1,11,OK
core,1,gym,1,11,OK
core,1,home,1,11,OK
core,1,office,1,11,OK
core,1,park,1,11,OK
core,1,service,1,11,OK
core,1,street,1,11,OK
core,2,airport,2,15,OK
core,2,gym,2,15,OK
core,2,home,2,15,OK
core,2,office,2,15,OK
core,2,park,2,15,OK
core,2,service,2,15,OK
core,2,street,2,15,OK
core,3,airport,3,18,OK
core,3,gym,3,18,OK
core,3,home,3,18,OK
core,3,office,3,18,OK
core,3,park,3,18,OK
core,3,service,3,18,OK
core,3,street,3,18,OK
core,4,airport,5,22,OK
core,4,gym,5,22,OK
core,4,home,5,22,OK
core,4,office,5,22,OK
core,4,park,5,20,OK
core,4,service,5,22,OK
core,4,street,5,22,OK
core,5,airport,4,26,OK
core,5,gym,4,26,OK
core,5,home,4,26,OK
core,5,office,4,26,OK
core,5,park,4,24,OK
core,5,service,4,26,OK
core,5,street,4,26,OK
core,6,airport,3,25,OK
core,6,gym,3,25,OK
core,6,home,3,25,OK
core,6,office,3,25,OK
core,6,park,3,23,OK
core,6,service,3,25,OK
core,6,street,3,25,OK
core,7,airport,4,25,OK
core,7,gym,4,25,OK
core,7,home,4,25,OK
core,7,office,4,25,OK
core,7,park,2,22,OK
core,7,service,4,25,OK
core,7,street,4,25,OK
core,8,airport,5,21,OK
core,8,gym,5,21,OK
core,8,home,5,21,OK
core,8,office,5,21,OK
core,8,park,5,18,OK
core,8,service,5,21,OK
core,8,street,5,21,OK
core,9,airport,1,19,OK
core,9,gym,1,19,OK
core,9,home,1,19,OK
core,9,office,1,19,OK
core,9,park,1,15,OK
core,9,service,1,19,OK
core,9,street,1,19,OK
core,10,airport,3,16,OK
core,10,gym,3,16,OK
core,10,home,3,16,OK
core,10,office,3,16,OK
core,10,park,2,12,OK
core,10,service,3,16,OK
core,10,street,3,16,OK
core,11,airport,1,15,OK
core,11,gym,1,15,OK
core,11,home,1,15,OK
core,11,office,1,15,OK
core,11,park,1,13,OK
core,11,service,1,15,OK
core,11,street,1,15,OK
core,12,airport,2,11,OK
core,12,gym,2,11,OK
core,12,home,2,11,OK
core,12,office,2,11,OK
core,12,park,1,9,OK
core,12,service,2,11,OK
core,12,street,2,11,OK
core,13,airport,0,10,OK
core,13,gym,0,10,OK
core,13,home,0,10,OK
core,13,office,0,10,OK
core,13,park,0,9,OK
core,13,service,0,10,OK
core,13,street,0,10,OK
core,14,airport,3,7,OK
core,14,gym,3,7,OK
core,14,home,3,7,OK
core,14,office,3,7,OK
core,14,park,3,7,OK
core,14,service,3,7,OK
core,14,street,3,7,OK
core,15,airport,1,7,OK
core,15,gym,1,7,OK
core,15,home,1,7,OK
core,15,office,1,7,OK
core,15,park,1,7,OK
core,15,service,1,7,OK
core,15,street,1,7,OK
core,16,airport,0,5,THIN
core,16,gym,0,5,THIN
core,16,home,0,5,THIN
core,16,office,0,5,THIN
core,16,park,1,6,OK
core,16,service,0,5,THIN
core,16,street,0,5,THIN
core,17,airport,0,5,THIN
core,17,gym,0,5,THIN
core,17,home,0,5,THIN
core,17,office,0,5,THIN
core,17,park,0,6,OK
core,17,service,0,5,THIN
core,17,street,0,5,THIN
core,18,airport,1,2,CLIFF
core,18,gym,1,2,CLIFF
core,18,home,1,2,CLIFF
core,18,office,1,2,CLIFF
