new_id,new_name,old_id,old_name,match_type,confidence
5LGfy2EB72CeLhQDcnY6,דרגון פלאג בטאק,360,דרגון בטאק,fuzzy,0.8
A7E66cGMdurMPAH6eBar,דדליפט רומני,176,דדליפט רומני - בית,fuzzy,0.8
MV1xme0QqOIXMJ23DogV,החזקת תמיכה על טבעות עם עזרה,93,החזקה תמיכה על הטבעות עם הרגליים,fuzzy,0.8
yqOBxqITC8gc44CG5IXE,עמידת פייק גובה אגן,95,עמידת פייק - גובה שוק,fuzzy,0.8
pgF5rdC4szYH0xGDoZWj,פרונט לבר בטאק מתקדם עם גומייה,421,חתירות פרונט טאק מתקדם עם גומייה,fuzzy,0.806
XWL3TUAVmN0Dmp2btFgN,ישיבת L בתמיכת הרגליים,59,ישיבת L בעזרת תמיכה של הרגליים,fuzzy,0.808
UsdsWvP2QPERD0S0lJVI,מתח עם גומייה בינונית,61,מתח עם גומייה - התנגדות בינונית,fuzzy,0.808
tXXikNYiAIcK3yPgybF1,עליות רגליים בשכיבה,90,עליות 2 רגליים בישיבת L,fuzzy,0.81
IEoGYRVKRxjaA0fQZNDw,ישיבת L רגל אחת,131,ישיבת L - רגל אחת ישרה,fuzzy,0.811
kb1MB9It40iDOrR1aacW,לחיצה מישיבת L לפייק,156,לחיצה מ- L ל-פייק,fuzzy,0.811
lGZxrjALhrrGWxnwNOTW,ספר ברכיים כפופת,102,פרונט - ברכיים כפופות,fuzzy,0.811
ggzAxOz0vT3SOObT3Y7q,קופנהגן פלאנק,605,קופנהגן פלאנק - בית,fuzzy,0.813
uw9RwLsBYD9P1Hrw7jN7,החזקת פיסטול סקוואט,306,פיסטול סקוואט,fuzzy,0.813
nCze4KVY6zUMkzYISWf1,מתח עם החזקות,68,מתח שלילי עם החזקות,fuzzy,0.813
YMT1UiAdwFPKVjHpyMMz,החזקת שכיבת סמיכה ב-90° במרפק,86,החזקה בשכיבות סמיכה ב-90°,fuzzy,0.815
vdsST9Joc5fpZzCgpDbq,פרונט לבר בטאק,359,פרונט לבר מלא,fuzzy,0.815
awTUBO1WaFwllqE2XSwX,פרונט לבר יהלום עם גומייה,139,פרונט במנח יהלום בעזרת גומייה,fuzzy,0.815
ETMVVSpt0lIpeF3mkEn6,מתיחות פלג גוף עליון לבדיקה,85,מתיחות - פלג גוף עליון,fuzzy,0.816
515aM5b8UHyAova7I6Lv,קפיצה על רגל אחת גובה ברך,203,קפיצה על ספסל - גובה ברך,fuzzy,0.816
kdBsatNKmG0HIgxsJg9R,שרימפ סקוואט טווח חלקי,364,דרגון סקוואט טווח חלקי,fuzzy,0.818
4rDvdGHq9KAxewpBe4Mg,דרגון סקוואט מוגבה,368,דרגון סקוואט על הגבהה,fuzzy,0.821
0bUiqoNXseMCAR2IGuKu,שכיבות סמיכה סופינציה,116,שכיבות סמיכה בפייק,fuzzy,0.821
2Fl1kzroDz81c4gbuKlU,החזקת מתח ב-15°,26,החזקה על המתח ב-15°,fuzzy,0.824
SLYwYGa0S8N7XSzSsTkc,החזקת מתח ב-90°,28,החזקה על המתח ב-90°,fuzzy,0.824
J6KQxmkJHwVqVGgnKhVm,מתיחות שורש כף יד,138,שכמות ושורש כף יד,fuzzy,0.824
DyNJgiO3Y70xKMf48HER,פרונט לבר בפישוק עם גומייה,396,פרונט בפישוק בעזרת גומייה,fuzzy,0.824
Ao3amXO9YEBEOSE48RRi,ישיבת L ברכיים כפופות,126,ישיבה בL - ברכיים מכופפות,fuzzy,0.826
LxyBLJUs5ryW7fgrDPba,דרגון פלאג בפישוק,362,דרגון בפישוק,fuzzy,0.828
vVTTFbDP1LffViDAQfHn,כפיפת ירך על הגבהה,190,כפיפת ירך - רגל על הגבה,fuzzy,0.829
wKGGFlDiIZDukG4MVoHD,החזקת מתח ב-120°,41,החזקה על המתח ב-120°,fuzzy,0.833
PUIZw7xWhCCzSDK8LecV,סקוואט כנגד קיר,380,ישיבת סקוואט כנגד קיר,fuzzy,0.833
Nr5P0Q3N7A0DffKjMVRn,שרימפ סקוואט בלי ידיים טווח חלקי,588,שרימפ סקוואט בלי ידיים - בית,fuzzy,0.833
tnblRsRC1YpVT2n4lLXd,שכיבות סמיכה רצועות ב-45°,34,שכיבות סמיכה ב-45°,fuzzy,0.837
hvCIfyHrdXajHrZtEJ9m,היפ טראסט ארוך,383,היפ טראסט - מאורך,fuzzy,0.839
USVeZ8mvQNeaconZ9KuG,פרונט לבר יהלום,148,פרונט במנח יהלום,fuzzy,0.839
mMW69g4YfMnlNGuLQgne,הרמות רגליים בישיבת פייק/L,202,עליות רגליים בישיבת פייק,fuzzy,0.84
JA9KlPvSiSUaFY0jDF1S,חתירות באחיזה עמוקה,159,חתירות בתפיסה עמוקה,fuzzy,0.842
nSZYgU7RTLsOI8kaxpQj,מתח שכמות יד אחת עם תמיכה,436,מתח שכמות יד אחת עם תמיכת אצבעות,fuzzy,0.842
wjYoZK3nvf3volQSdkdD,סקוואט טווח חלקי,364,דרגון סקוואט טווח חלקי,fuzzy,0.842
UDep0WLPWfBf9wIhjQGw,פלאנץ׳ בטאק מתקדם ,450,לחיצת פלאנץ׳ בטאק מתקדם,fuzzy,0.842
5LhNqpOowBF268tFTDz7,פיסטול סקוואט שלילי שמאל,241,פיסטול סקוואט - שמואל,fuzzy,0.844
W61ECyiZmD9APomgxAfz,שכיבות סמיכה בעמידת ידיים חזה לקיר,460,שכיבות סמיכה בע״י חזה לקיר,fuzzy,0.847
YIjtB5lbLr0nxDqCdgpB,מתח אוסטרלי ב-15° מעלות,293,מתח אוסטרלי ב-15°,fuzzy,0.85
8Fn68O2jggNncaAgMoYG,מתח אוסטרלי ב-30° מעלות,292,מתח אוסטרלי ב-30°,fuzzy,0.85
yt4SZR62igNtPJqo1Tah,מתח אוסטרלי ב-60° מעלות,291,מתח אוסטרלי ב-60°,fuzzy,0.85
8vGnuoSH3MMkYKnxjg1P,סקוואט כנגד גומייה,304,סקוואט בהתנגדות גומייה,fuzzy,0.85
IZ97XR6J6vBuzFDjQH6r,שכיבות סמיכה טווח עליון,24,שכיבות סמיכה - חלק עליון,fuzzy,0.851
3gE45P8fG6iXVuZ48QGk,שכיבות סמיכה טווח תחתון,31,שכיבות סמיכה - חלק תחתון,fuzzy,0.851
6kRZiBHmQI34xaUcysBi,גוד מורנינג בישיבה,177,גוד מורנינג בישיבה - בית,fuzzy,0.857
iq5FQ7UX4utmSCVSpPec,גמישות קרסול לעמוד,196,גמישות קרסול - ברך לעמוד,fuzzy,0.857
ZvmddvrFV5NgwLAgrvec,פרונט לבר בפישוק,400,פרונט בפישוק,fuzzy,0.857
J7wQr1CCzBM3HGqZH2co,חתירות פרונט לבר בטאק מתקדם בעזרת גומייה,421,חתירות פרונט טאק מתקדם עם גומייה,fuzzy,0.861
oIOh1yoQtRmVb3zr3Kf9,עליית כוח בעזרת גומייה,137,עליית כוח על מתח בעזרת גומייה,fuzzy,0.863
t3J7gdxcnsVPVi3QGDmH,כפיפת נורדיק בעזרת גומייה,218,נורדיק בעזרת גומייה,fuzzy,0.864
i5JiWYzTrmtMbpwN207A,פיסטול סקוואט שלילי ימין,240,פיסטול סקוואט - ימין,fuzzy,0.864
UdcGfuqfagFg4g3pB1yt,שכיבות סמיכה קשתים בפישוק,35,שכיבות סמיכה בפישוק,fuzzy,0.864
qnSex7AN2TXhTiytUXX8,דרגון פלאג בטאק מתקדם,361,דרגון בטאק מתקדם,fuzzy,0.865
mDPDDIYx8JEqrwSamDqa,שכיבות סמיכה ספינקס,116,שכיבות סמיכה בפייק,fuzzy,0.865
5Sex2i0m3X7PE3SicCHk,שכיבות סמיכה שיפוע שלילי,97,שכיבות סמיכה -שיפוע שלילי ב-30°,fuzzy,0.873
48r36be7y2dvotG4YKCM,שכיבות סמיכה שלילי בעמידת ידיים חזה לקיר ,376,שכיבות סמיכה שלילי בע״י חזה לקיר,fuzzy,0.873
4ce7GeLA60a6zxtbDBW1,עליית כוח בעזרת תנופה,439,עליית כוח בעזרת תנופה/נדנוד,fuzzy,0.875
Bkb5i5YfYocKrQILfbY3,החזקת מקבילים ב-15°,53,החזקה על מקבילים ב-15°,fuzzy,0.878
bilfw71EhTkDTSv759sV,החזקת מקבילים ב-90°,43,החזקה על מקבילים ב-90°,fuzzy,0.878
LyrudhfINxmKc3BYWhFT,מתח יד אחת עם חולצה,346,מתח יד אחת בעזרת חולצה,fuzzy,0.878
DsKs15sWsVm33GaQI9Ty,דדליפט רומני בהתנגדות גומייה,194,דדליפט בהתנגדות גומייה,fuzzy,0.88
ihFQrvU8P7fQmr7OQWCC,מתח באחיזה מעורבת,435,מתח באחיזה משולבת,fuzzy,0.882
jPzXgBtka83RxOgOy8kQ,החזקת מקבילים ב-120°,37,החזקה על מקבילים ב-120°,fuzzy,0.884
HFdBVEtBQfpx4EYeLe7j,מתח יד אחת עם גומייה,437,מתח יד אחת בעזרת גומייה,fuzzy,0.884
Du2quNOcewafWMcpxGjq,סקוואט כנגד קיר רגל אחת,381,ישיבת סקוואט כנגד קיר רגל אחת,fuzzy,0.885
862hyZowOu16yxls8MWf,שכיבות סמיכה פייק עמוקות גובה אגן,140,שכיבות סמיכה פייק - גובה אגן,fuzzy,0.885
01HnnltgrzYyUMECUELx,דדליפט רגל אחת כנגד גומייה,303,דדליפט רגל אחת בהתנגדות גומייה,fuzzy,0.893
pJdp23bQz6WRrkiPz3H2,חתירות ב-15° עם ברכיים כפופות,46,חתירות ב-15° ברכיים מכופפות,fuzzy,0.893
48HQdvWfODiRsyd1WQOl,החזקת מתח יד אחת ב-15°,341,החזקה על מתח יד אחת ב-15°,fuzzy,0.894
WRY4OTLIfEYxdIWZ82hm,החזקת מתח יד אחת ב-90°,340,החזקה על מתח יד אחת ב-90°,fuzzy,0.894
H9ySMJX46OSm3TgpGn3l,הרמות פרונט לבר בטאק מתקדם,150,הרמות פרונט טאק מתקדם,fuzzy,0.894
VlXhoc85miQq4ETZbbmj,חתירות פרונט לבר בטאק,299,חתירות פרונט בטאק,fuzzy,0.895
WhivG5FdpScdWU0ZHR3x,החזקת מתח יד אחת ב-120°,342,החזקה על מתח יד אחת ב-120°,fuzzy,0.898
SVWvr2YKMtQN3SJiqWmY,החזקת מקבילים ב-15° עם גומייה,448,החזקה על מקבילים ב-15° עם גומיה,fuzzy,0.9
7ocGV3FbYbue9nXC8aXh,החזקת מקבילים ב-90° עם גומייה,447,החזקה על מקבילים ב-90° עם גומיה,fuzzy,0.9
rjZ61De9VjHeFUu44pwL,הרמות פרונט לבר בפישוק,399,הרמות פרונט בפישוק,fuzzy,0.9
4YCuuEsNVwUcxNxp3m9H,החזקת מקבילים ב-120° עם גומייה,446,החזקה על מקבילים ב-120° עם גומיה,fuzzy,0.903
0AoeD3sBQjqWvchrHPYp,שכיבות סמיכה ברכיים,45,שכיבות סמיכה על הברכיים,fuzzy,0.905
GXxEpd4yrxil9l6Ajtso,הרמות פרונט לבר רגל אחת,370,הרמות פרונט - רגל אחת,fuzzy,0.909
8xwrNMDXevR0MQiyQoZk,דרגון סקוואט בתמיכת יד,366,דרגון סקוואט עם תמיכת יד,fuzzy,0.913
kMBpyHBuiJN98EpoyOXK,לחיצת רגליים כנגד עמוד,382,לחיצת רגליים כנגד קיר/עמוד,fuzzy,0.917
tk7WiobxvhIGxqcpU2ab,מקבילים על טבעות בעזרת גומיה דקה,119,מקבילים על טבעות בעזרת גומייה,fuzzy,0.918
3zffAO0k2ZaHs0WkkQuT,פרונט לבר רגל אחת בעזרת גומייה,153,פרונט במנח רגל אחת בעזרת גומייה,fuzzy,0.918
uPBc9pfM6jOLg5LwuShN,סקוואט קפיצה,183,סקוואט - קפיצה,fuzzy,0.923
W69akLqaO2HD6y9ydzKe,פלאנץ׳ יהלום בעזרת גומייה דקה,161,פלאנץ יהלום בעזרת גומייה,fuzzy,0.923
RPGCJ5BXPpPG21sF3H4y,עמידת ידיים חזה לקיר ב-45°,114,עמידת ידיים עם החזה לקיר ב-45°,fuzzy,0.929
DnRgN3J7j5k6aTKX7lj3,תלייה פסיבית בתמיכת הרגליים,17,תלייה פאסיבית - תמיכת הרגליים,fuzzy,0.929
3O5BDlJVD34kjYm3Emo8,דדליפט רגל אחת,185,דדליפט - רגל אחת,fuzzy,0.933
Ed0LyBklkJrgH2r97mKA,מתח לא שוויוני עם טבעות,398,מתח לא שוויני על טבעות,fuzzy,0.933
NMpcI24LATvOiqgyvjKw,סיסי סקוואט בעזרת קיר,236,סיסי סקוואט - בעזרת בקיר,fuzzy,0.933
xeo8dpAwk2pNe0IuokLk,שכיבות סמיכה על טבעות 75,466,שכיבות סמיכה על טבעות,fuzzy,0.933
C8AORxqqLojlgKhEiekN,שרימפ סקוואט בתמיכת רגל,210,שרימפ סקוואט - תמיכת רגל,fuzzy,0.936
TXeGlGA7ECHGKQIhlcs7,היפ טראסט מוגבה,200,היפ טראסט - מוגבה,fuzzy,0.938
PBpgwYAqyAPwGd276lny,ישיבת L על הרצפה,412,ישיבת L - על הרצפה,fuzzy,0.941
wYsAsYROBOsZfwm0GcKX,שכיבות סמיכה רחבות,433,שכיבות סמיכה רחב,fuzzy,0.941
j7vOGJMwlJR4K7MaaF24,היפ טראסט רגל אחת,181,היפ טראסט - רגל אחת,fuzzy,0.944
8C5esYmeG9fZGyoDgzMu,מתח מתפרץ עם טבעות,395,מתח מתפרץ על טבעות,fuzzy,0.944
TKJ54G8YId6YVAJn3fTR,עליית כוח עם טבעות,397,עליית כוח על טבעות,fuzzy,0.944
BWbscvj0m3hvxghEMtKV,פלאנק עליות ונגיעות בכתפיים,74,פלאנק עליות + נגיעות בכתפיים,fuzzy,0.945
gZqAE68NQJnREu60C88S,שכיבות סמיכה מרפקים צמודים,71,שכיבות סמיכה עם מרפקים צמודים,fuzzy,0.945
ZJKCzG7wOjMdJUyI9Jhz,שכיבות סמיכה קשתים עם רצועות,338,שכיבות סמיכה קשתים - רצועות,fuzzy,0.945
kF3kYAMIEf2jyAHwS7qf,פשיטת מרפקים על ספסל,36,פשיטת מרפק על ספסל,fuzzy,0.947
HQdH6XZltGsDSkUBBdGH,סקוואט בעזרת רצועות,174,סקוואט - בעזרת רצועות,fuzzy,0.95
WQBYjQxJEc9Y6FWHigTH,עמידת פייק גובה ברך,99,עמידת פייק - גובה ברך,fuzzy,0.95
OaqZzXOBwfVmdJ99w3iC,עמידת פייק גובה שוק,95,עמידת פייק - גובה שוק,fuzzy,0.95
Ox23f2tVbvGoly8Syr3o,פיסטול סקוואט מוגבה,219,פיסטול סקוואט - מוגבה,fuzzy,0.95
ANvq7ORET7uhLRK4XP6X,הליכות קיר,112,הליכות לקיר,fuzzy,0.952
PVqGiE3xg76Dg0EXUsqZ,עמידת ידיים חזה לקיר,124,עמידת ידיים - חזה לקיר,fuzzy,0.952
DYbteakuCXCRkiFoGP8K,דרגון סקוואט ברך כפופה,365,דרגון סקוואט - ברך כפופה,fuzzy,0.957
hSungsi3vi6nm7rQLHlP,שרימפ סקוואט בלי ידיים,288,שרימפ סקוואט - בלי ידיים,fuzzy,0.957
sgmx86BRQqbUm0RpXBQM,היפ טראסט מוגבה רגל אחת,208,היפ טראסט - מוגבה רגל אחת,fuzzy,0.958
PUJaMMGpcFAeKfHaeJlm,מתח יד אחת בעזרת אצבעות,329,מתח יד אחת בעזרת 4 אצבעות,fuzzy,0.958
AgkrcnND86Xdn6O3x3A5,שרימפ סקוואט בעזרת עמוד,206,שרימפ סקוואט - בעזרת עמוד,fuzzy,0.958
76ME6NgB01ru8Rubxrwb,עליית כוח בקפיצה עם טבעות,393,עליית כוח בקפיצה על טבעות,fuzzy,0.96
Xk0WZ34nEX802B0FxkpA,תלייה פסיבית,23,תלייה פאסיבית,fuzzy,0.96
LKNAvIpuj9EtO3wUzFeV,נורדיק אחורי בעזרת גומייה,216,נורדיק אחורי - בעזרת גומייה,fuzzy,0.962
Y3A9AJWaJ6m2cVIoJS7T,בק לבר בפישוק,372,באק לבר בפישוק,fuzzy,0.963
SO7k5qh04cKEoZmWbjeW,שכיבות סמיכה פייק גובה אגן,140,שכיבות סמיכה פייק - גובה אגן,fuzzy,0.963
7G0s5hR2qyc6tSRZsplm,שכיבות סמיכה פייק גובה ברך,129,שכיבות סמיכה פייק - גובה ברך,fuzzy,0.963
wQ6ocm6HRKtQ7CFpZI6A,שכיבות סמיכה פייק גובה שוק,127,שכיבות סמיכה פייק - גובה שוק,fuzzy,0.963
2HozkIAOCD401ia4dSrH,שרימפ סקוואט עמוק בלי ידיים,242,שרימפ סקוואט עמוק - בלי ידיים,fuzzy,0.964
MwH75rBMKq65J9B86yUq,שכיבות סמיכה פייק,116,שכיבות סמיכה בפייק,fuzzy,0.971
PnlKBGNsM3XSPN7LG3OH,בננה סופרמן על המתח,133,בננה סופרמן על מתח,fuzzy,0.973
qHy5Te1jSPSi5jA3W9d6,qHy5Te1jSPSi5jA3W9d6,1,asd,none,0.087
uRelXXhk4iDsccOxuTsj,קראנץ,325,קראנץ ברכיים כפופות,none,0.417
Am5MHd1RothiK0lvlXAF,מתח מכונת כתיבה (Typewriter),500,מתח עם תמיכת כיסא,none,0.444
ZYssXGqyPrIgvV1vXJcn,חימום דנימי קפיצות כוכב,537,חימום מרפקים כל הגוף - בית,none,0.449
x7nwPNg3YbxnFLvvLLp2,חימום פשיטה וכפיפת עמוד השדרה,294,חתירות בכפיפה עם גומייה,none,0.462
3dIrpJQHp5QbimPVTZDk,חצי סמוך קום,403,חצי פרונט,none,0.476
