"שם (עברית)","id קנוני","category ב-DB","מסמך קיים?","ב-ASSUMED_HOME_GEAR?","requiredGearType בשיטות","בית","פארק","רחוב","חדר כושר","משרד","מס' שיטות","קונפליקטים","category נכון","מיקומים נכונים"
"טבעות","rings","suspension","gear_definitions","","user_gear/fixed_equipment","✓","✓","","","✓","194","","",""
"מתח לדלת","pullup_bar_door","stationary","gear_definitions","","user_gear/improvised","✓","","","","✓","120","requiredGearType(user_gear/improvised) סותר category(stationary)","",""
"גומיית התנגדות","resistance_bands","resistance","gear_definitions + gym_equipment","","user_gear","✓","✓","✓","✓","✓","116","","",""
"כיסא","chair","improvised","gear_definitions","כן","improvised/user_gear/fixed_equipment","✓","","","","✓","98","","",""
"מתח בפארק","pullup_bar","stationary","gear_definitions + gym_equipment","","user_gear/improvised/fixed_equipment","✓","✓","","✓","","92","requiredGearType(user_gear/improvised/fixed_equipment) סותר category(stationary)","",""
"רצועות trx","trx","suspension","gear_definitions + gym_equipment","","fixed_equipment/user_gear/improvised","✓","✓","","","✓","50","requiredGearType(fixed_equipment/user_gear/improvised) סותר category(suspension)","",""
"ספסל רחוב","bench","improvised","gear_definitions","","user_gear/fixed_equipment","","✓","✓","","","44","improvised אך חסר מ-ASSUMED_HOME_GEAR | requiredGearType(user_gear/fixed_equipment) סותר category(improvised)","",""
"מקבילים בפארק","dip_station","stationary","gear_definitions + gym_equipment","","user_gear/fixed_equipment","✓","✓","","","","39","","",""
"מדרגות אימון","step","","gym_equipment","","user_gear/fixed_equipment","","✓","","","","22","gym_equipment ללא category","",""
"מקבילים נמוכים","parallel_bars_home","stationary","gear_definitions + gym_equipment","","user_gear","✓","✓","","","","19","","",""
"מזרון יוגה","mat","accessories","gear_definitions","כן","user_gear","✓","✓","✓","","✓","17","","",""
"שרפרף","stool","improvised","gear_definitions","","user_gear/improvised","✓","","✓","","✓","15","improvised אך חסר מ-ASSUMED_HOME_GEAR","",""
"ספה","sofa","improvised","gear_definitions","","user_gear/improvised","✓","","","✓","✓","14","improvised אך חסר מ-ASSUMED_HOME_GEAR","",""
"דלת","door","improvised","gear_definitions","כן","improvised/user_gear","✓","","","","","13","category ללא iconKey → נאבד בזמן ריצה","",""
"מכנסיים","pants","improvised","gear_definitions","","improvised","✓","","","","","12","improvised אך חסר מ-ASSUMED_HOME_GEAR","",""
"תיק גב","back_pack","improvised","gear_definitions","","user_gear","✓","✓","","","✓","5","improvised אך חסר מ-ASSUMED_HOME_GEAR | requiredGearType(user_gear) סותר category(improvised)","",""
"מדרגות","steps","improvised","gear_definitions","","user_gear","✓","","✓","","✓","4","improvised אך חסר מ-ASSUMED_HOME_GEAR | requiredGearType(user_gear) סותר category(improvised)","",""
"בלוק יוגה","yoga_block","accessories","gear_definitions","","user_gear/improvised","✓","✓","","","✓","4","requiredGearType(user_gear/improvised) סותר category(accessories)","",""
"","unknown_gear","","לא","","user_gear","","✓","","","","3","בשימוש בשיטות אך לא קיים באף קולקציה","",""
"","5wvcfte2gm9mnaebjimz","","לא","","fixed_equipment","","✓","","","","1","בשימוש בשיטות אך לא קיים באף קולקציה","",""
"גלגל בטן","Abdominal_wheel","accessories","gear_definitions","","improvised","✓","","","","","1","requiredGearType(improvised) סותר category(accessories)","",""
"מיטת עליית בטן","inkr0xuxevblg370watm","","gym_equipment","","user_gear","","✓","","","","1","gym_equipment ללא category","",""
"טבעות אימון","ring_park","","gym_equipment","","user_gear","","✓","","","","1","gym_equipment ללא category","",""
"מאמן שרירי בטן ואגן","2kt12yhp8fdarqnnspix","","gym_equipment","","","","","","","","0","gym_equipment ללא category | 0 שיטות — פריט מת","",""
"לחיצת חזה בשכיבה - במכונה","akymudsoujlltitum0fm","","gym_equipment","","","","","","","","0","gym_equipment ללא category | 0 שיטות — פריט מת","",""
"מתקן לחיצת חזה בשכיבה - משקולות","b48wtey6slvx3nbu88ix","","gym_equipment","","","","","","","","0","gym_equipment ללא category | 0 שיטות — פריט מת","",""
