id,name_he,primaryMuscle,secondaryMuscles,muscleGroups,movementGroup,movementType,programIds,targetPrograms,exec_locations,exec_methods_count,video_fullTutorial_he_per_method,has_fullTutorial_he_any,has_any_video,tags,exerciseRole,isFollowAlong,isFinisherVideo,fieldReady,gap_no_primaryMuscle,gap_no_targetPrograms_or_level,gap_no_execution_methods,gap_no_video,core_candidate,core_secondary,core_role
"kbxV76kyWw1nL3i8Mewi","דגל אנושי","shoulders","back|abs|obliques|forearms|glutes|traps|core","","core","compound","pull|push|human_flag","pull:21 | push:21 | human_flag:10","park|gym","2","park[ft_he:n] | gym[ft_he:n]","false","true","","main","false","","","false","false","false","false","true","false","primary"
"FSbQ2OfFSDzWxGOSRljt","דגל אקצנטרי בטאק","shoulders","back|abs|obliques|forearms|glutes|traps|core","","core","compound","pull|push|human_flag","pull:18 | push:18 | human_flag:9","park|gym","2","park[ft_he:n] | gym[ft_he:n]","false","true","","main","false","","","false","false","false","false","true","false","primary"
"DWiXoX8UHKQiAS1ye40c","דגל ב-45°","shoulders","back|abs|obliques|forearms|glutes|traps|core","","core","compound","pull|push|human_flag","pull:13 | push:13 | human_flag:2","park|gym|home","3","park[ft_he:n] | gym[ft_he:n] | home[ft_he:n]","false","true","","main","false","","","false","false","false","false","true","false","primary"
"ycvdr08dAy8xr1p5COyy","דגל בטאק","shoulders","back|abs|obliques|forearms|glutes|traps|core","","core","compound","pull|push|human_flag","pull:16 | push:16 | human_flag:7","park|gym","2","park[ft_he:n] | gym[ft_he:n]","false","true","","main","false","","","false","false","false","false","true","false","primary"
"FU3FAudvpYTZqYU0m8GV","דגל בעזרת גומייה","shoulders","back|abs|obliques|forearms|glutes|traps|core","","core","compound","pull|push|human_flag","pull:19 | push:19 | human_flag:9","park|gym","2","park[ft_he:n] | gym[ft_he:n]","false","true","","main","false","","","false","false","false","false","true","false","primary"
"WJIrY4OW1QgfhTeNLvNS","דגל בפישוק","shoulders","back|abs|obliques|forearms|glutes|traps|core","","core","compound","pull|push|human_flag","pull:20 | push:20 | human_flag:9","park|gym","2","park[ft_he:n] | gym[ft_he:n]","false","true","","main","false","","","false","false","false","false","true","false","primary"
"fg0NDJmRtK2RPXU7gHqr","דגל נמוך","shoulders","back|abs|obliques|forearms|glutes|traps|core","","core","compound","pull|push|human_flag","pull:14 | push:14 | human_flag:3","park|gym|home","3","park[ft_he:n] | gym[ft_he:n] | home[ft_he:n]","false","true","","main","false","","","false","false","false","false","true","false","primary"
"0vBLmiJuZnq6djGSa5LD","דגל פלאנק צידי","shoulders","back|abs|obliques|forearms|glutes|traps|core","","core","compound","pull|push|human_flag","pull:12 | push:12 | human_flag:1","park|gym","2","park[ft_he:n] | gym[ft_he:n]","false","true","","main","false","","","false","false","false","false","true","false","primary"
"5LGfy2EB72CeLhQDcnY6","דרגון פלאג בטאק","abs","back|shoulders|obliques|forearms|core","","core","compound","pull|core","pull:14 | core:14","park|home|gym|airport","4","park[ft_he:n] | home[ft_he:n] | gym[ft_he:n] | airport[ft_he:n]","false","true","","main","false","","","false","false","false","false","true","false","primary"
"qnSex7AN2TXhTiytUXX8","דרגון פלאג בטאק מתקדם","abs","back|shoulders|obliques|forearms|core","","core","compound","pull|core","pull:15 | core:15","park|home|gym|airport","4","park[ft_he:n] | home[ft_he:n] | gym[ft_he:n] | airport[ft_he:n]","false","true","","main","false","","","false","false","false","false","true","false","primary"
"LxyBLJUs5ryW7fgrDPba","דרגון פלאג בפישוק","abs","back|shoulders|obliques|forearms|core","","core","compound","pull|core","pull:18 | core:18","park|home|gym|airport","4","park[ft_he:n] | home[ft_he:n] | gym[ft_he:n] | airport[ft_he:n]","false","true","","main","false","","","false","false","false","false","true","false","primary"
"PMZewv23o1W4ZP01jo95","הרמות רגל אחת בישיבת L","abs","chest|shoulders|obliques|forearms|triceps|quads|traps|core","","core","compound","core|push","core:4 | push:4","park|home|street|office","4","park[ft_he:y] | home[ft_he:n] | street[ft_he:n] | office[ft_he:n]","true","true","","main","false","","","false","false","false","false","true","false","primary"
"mMW69g4YfMnlNGuLQgne","הרמות רגליים בישיבת פייק/L","abs","chest|shoulders|obliques|forearms|triceps|quads|traps|core","","core","compound","core|push|legs","core:8 | push:8 | legs:5","park|home|street|office|airport","5","park[ft_he:y] | home[ft_he:n] | street[ft_he:n] | office[ft_he:n] | airport[ft_he:n]","true","true","","main","false","","","false","false","false","false","true","false","primary"
"k10Af7WEV0qDqx8PY7xQ","חימום פלג גוף עליון לבדיקה","","","chest|back|shoulders|abs|obliques","squat","compound","upper_body","upper_body:1","park|street","1","park+street[ft_he:n]","false","true","","warmup","true","","","true","false","false","false","true","false","primary"
