exercise_id,exercise_name,method_index,method_location,method_mapping,previewVideo_id,mainVideoUrl_src,imageUrl_src,fullTutorial_id,flag_still_on_firebase,flag_legacy_no_previewVideo,flag_empty_method,root_media_points_to
"01HnnltgrzYyUMECUELx","דדליפט רגל אחת כנגד גומייה",0,"park","park","","bunny","firebase","7ce83c8f-2bc7-4e4a-bca4-0da1c44f4c15",1,1,,"method[0]=park"
"01HnnltgrzYyUMECUELx","דדליפט רגל אחת כנגד גומייה",1,"home","home","","","","",,,1,"method[0]=park"
"01HnnltgrzYyUMECUELx","דדליפט רגל אחת כנגד גומייה",2,"street","street","","","","",,,1,"method[0]=park"
"01HnnltgrzYyUMECUELx","דדליפט רגל אחת כנגד גומייה",3,"office","office","","","","",,,1,"method[0]=park"
"0AoeD3sBQjqWvchrHPYp","שכיבות סמיכה ברכיים",0,"park","park","","bunny","firebase","113ffbfb-3517-497d-9c53-7aa32881812c",1,1,,"method[1]=home"
"0AoeD3sBQjqWvchrHPYp","שכיבות סמיכה ברכיים",1,"home","home","f0b96ed0-0685-429a-b969-d4527a2f0963","bunny","bunny","",,,,"method[1]=home"
"0AoeD3sBQjqWvchrHPYp","שכיבות סמיכה ברכיים",2,"street","street","","","","",,,1,"method[1]=home"
"0AoeD3sBQjqWvchrHPYp","שכיבות סמיכה ברכיים",3,"office","office","","","","",,,1,"method[1]=home"
"0XUsTtJ7pSclRqgJAqFJ","מקבילים אקצנטרי",0,"park","park","","bunny","firebase","b971f111-dd1d-417e-92ad-06fabecb7a2c",1,1,,"method[1]=home"
"0XUsTtJ7pSclRqgJAqFJ","מקבילים אקצנטרי",1,"home","home","a9e1f839-0a47-43d3-9e49-e5bd99b3573d","bunny","bunny","",,,,"method[1]=home"
"0XUsTtJ7pSclRqgJAqFJ","מקבילים אקצנטרי",2,"home","home","","","","",,,1,"method[1]=home"
"0XUsTtJ7pSclRqgJAqFJ","מקבילים אקצנטרי",3,"office","office","","","","",,,1,"method[1]=home"
"0bUiqoNXseMCAR2IGuKu","שכיבות סמיכה סופינציה",0,"park","park","","bunny","firebase","ddab7a12-1b12-4105-ac09-b13cadc9f2bc",1,1,,"method[1]=home"
"0bUiqoNXseMCAR2IGuKu","שכיבות סמיכה סופינציה",1,"home","home","233e9602-1ba4-4036-8686-162756bcda7c","bunny","bunny","",,,,"method[1]=home"
"0bUiqoNXseMCAR2IGuKu","שכיבות סמיכה סופינציה",2,"street","street","","","","",,,1,"method[1]=home"
"0bUiqoNXseMCAR2IGuKu","שכיבות סמיכה סופינציה",3,"office","office","","","","",,,1,"method[1]=home"
"0bUiqoNXseMCAR2IGuKu","שכיבות סמיכה סופינציה",4,"airport","airport","","","","",,,1,"method[1]=home"
"0vBLmiJuZnq6djGSa5LD","דגל פלאנק צידי",0,"park","park","","bunny","firebase","",1,1,,"method[0]=park"
"0vBLmiJuZnq6djGSa5LD","דגל פלאנק צידי",1,"gym","gym","","","","",,,1,"method[0]=park"
"1Ievv4bUCLrhl4kSJjt1","חתירות ב-60°",0,"park","park","","bunny","firebase","57ca49a1-cbc9-4737-994e-e51f24257c82",1,1,,"method[4]=home"
"1Ievv4bUCLrhl4kSJjt1","חתירות ב-60°",1,"park","park","","","firebase","",1,1,,"method[4]=home"
"1Ievv4bUCLrhl4kSJjt1","חתירות ב-60°",2,"park","park","","","firebase","",1,1,,"method[4]=home"
"1Ievv4bUCLrhl4kSJjt1","חתירות ב-60°",3,"park","park","","","","",,,1,"method[4]=home"
"1Ievv4bUCLrhl4kSJjt1","חתירות ב-60°",4,"home","home","2d5c83cc-3bff-4aa9-89bb-e6b14a52ed2b","bunny","bunny","",,,,"method[4]=home"
"1Ievv4bUCLrhl4kSJjt1","חתירות ב-60°",5,"home","home","","","","",,,1,"method[4]=home"
"1Ievv4bUCLrhl4kSJjt1","חתירות ב-60°",6,"home","home","","","","",,,1,"method[4]=home"
"1OEFeykCym2378rgD4QK","כפיפות בטן",0,"park","park","","","","",,,1,"method[1]=home"
"1OEFeykCym2378rgD4QK","כפיפות בטן",1,"home","home","cc132d16-7560-4dbb-841e-9fc60453a932","bunny","bunny","",,,,"method[1]=home"
"1hY3tAPGhB41EGXkdGaT","הליכות היפ טראסט",0,"home","home","46b23523-5c4c-43c6-a560-c84f87ea80f5","bunny","bunny","",,,,"method[0]=home"
"1hY3tAPGhB41EGXkdGaT","הליכות היפ טראסט",1,"office","office","","","","",,,1,"method[0]=home"
"1hY3tAPGhB41EGXkdGaT","הליכות היפ טראסט",2,"park","park","","bunny","firebase","",1,1,,"method[0]=home"
"1hY3tAPGhB41EGXkdGaT","הליכות היפ טראסט",3,"street","street","","","","",,,1,"method[0]=home"
"24acSdN3XiV2NZ7UnSkZ","מתיחת המסתרינג בשכיבה",0,"park","park","","","","",,,1,"method[1]=home"
"24acSdN3XiV2NZ7UnSkZ","מתיחת המסתרינג בשכיבה",1,"home","home","30a90b06-656d-44b2-918e-686c4e908580","bunny","bunny","",,,,"method[1]=home"
"26Sv7XtYoiHHVNC3ixSN","תלייה באחיזה עמוקה",0,"home","home","","","","",,,1,"(empty)"
"26Sv7XtYoiHHVNC3ixSN","תלייה באחיזה עמוקה",1,"office","office","","","","",,,1,"(empty)"
"26Sv7XtYoiHHVNC3ixSN","תלייה באחיזה עמוקה",2,"park","park","","bunny","firebase","",1,1,,"(empty)"
"2Fl1kzroDz81c4gbuKlU","החזקת מתח ב-15°",0,"park","park","","bunny","firebase","cb647527-16ab-420f-8a15-cb4b89c17178",1,1,,"method[2]=home"
"2Fl1kzroDz81c4gbuKlU","החזקת מתח ב-15°",1,"park","park","","","","",,,1,"method[2]=home"
"2Fl1kzroDz81c4gbuKlU","החזקת מתח ב-15°",2,"home","home","bd3c280f-cc4d-4be5-94e9-9c9262d4fb3d","bunny","bunny","",,,,"method[2]=home"
"2Fl1kzroDz81c4gbuKlU","החזקת מתח ב-15°",3,"home","home","","","","",,,1,"method[2]=home"
"2Fl1kzroDz81c4gbuKlU","החזקת מתח ב-15°",4,"office","office","","","","",,,1,"method[2]=home"
"2HozkIAOCD401ia4dSrH","שרימפ סקוואט עמוק בלי ידיים",0,"home","home","","","","",,,1,"(empty)"
"2HozkIAOCD401ia4dSrH","שרימפ סקוואט עמוק בלי ידיים",1,"park","park","","bunny","firebase","721f40ec-b3ee-4f93-953c-62bdb401041f",1,1,,"(empty)"
"2HozkIAOCD401ia4dSrH","שרימפ סקוואט עמוק בלי ידיים",2,"street","street","","","","",,,1,"(empty)"
"2HozkIAOCD401ia4dSrH","שרימפ סקוואט עמוק בלי ידיים",3,"office","office","","","","",,,1,"(empty)"
"2rRyq5b7CLbJuOgm8ODa","בק לבר",0,"park","park","","","","",,,1,"firebase:ffd7acc8"
"2rRyq5b7CLbJuOgm8ODa","בק לבר",1,"home","home","","","","",,,1,"firebase:ffd7acc8"
"2rRyq5b7CLbJuOgm8ODa","בק לבר",2,"home","home","","","","",,,1,"firebase:ffd7acc8"
"2rRyq5b7CLbJuOgm8ODa","בק לבר",3,"park","park","","bunny","firebase","",1,1,,"firebase:ffd7acc8"
