id,name,movementGroup,locations,isFollowAlong,reasons,missing
"24acSdN3XiV2NZ7UnSkZ","מתיחת המסתרינג בשכיבה","","park;home","false","NO_LEVEL;NO_ROLE_OR_TAG","targetPrograms/programIds (no level);exerciseRole (and no mobility/flexibility/hiit_friendly tag)"
"34LJ5pJYnk5GPr77xlG9","חימום סיבובי מפרקים","","park;home","false","NO_LEVEL;NO_ROLE_OR_TAG","targetPrograms/programIds (no level);exerciseRole (and no mobility/flexibility/hiit_friendly tag)"
"4Sjv6yU3LOD6vmaDfz43","מתיחת ישיבה בפייק","","park;home","false","NO_LEVEL;NO_ROLE_OR_TAG","targetPrograms/programIds (no level);exerciseRole (and no mobility/flexibility/hiit_friendly tag)"
"4wCedrBoFjPePiymHoYP","חימום סיבובי ירך","","park;home","false","NO_LEVEL;NO_ROLE_OR_TAG","targetPrograms/programIds (no level);exerciseRole (and no mobility/flexibility/hiit_friendly tag)"
"7spjueGo4OFPIrHHu3Jl","מתיחת דוגמנית","","park;home","false","NO_LEVEL;NO_ROLE_OR_TAG","targetPrograms/programIds (no level);exerciseRole (and no mobility/flexibility/hiit_friendly tag)"
"8WN9CquCscUXK5SvNiIn","חימום רוטציות לצדדים עמוד השדרה","","park;home","false","NO_LEVEL;NO_ROLE_OR_TAG","targetPrograms/programIds (no level);exerciseRole (and no mobility/flexibility/hiit_friendly tag)"
"CQtZDiAEvfNB8khudfsG","פשיטת מרפקים יד מאחורי הראש בהתנגדות גומיה","","park;home","false","NO_LEVEL;NO_ROLE_OR_TAG","targetPrograms/programIds (no level);exerciseRole (and no mobility/flexibility/hiit_friendly tag)"
"CYEuO2uRt1QBCr5e2khC","כפיפת ברך כנגד גומייה","","park;home;office;street","false","NO_ROLE_OR_TAG","exerciseRole (and no mobility/flexibility/hiit_friendly tag)"
"DCnxDF0lbfzXLloH8gYp","הרחקת כתף שמאל","","park;home","false","NO_LEVEL;NO_ROLE_OR_TAG","targetPrograms/programIds (no level);exerciseRole (and no mobility/flexibility/hiit_friendly tag)"
"GBj2NlbFzc3eD8TLZzwQ","סיסי לאנג׳","squat","home;street;office;park","false","NO_ROLE_OR_TAG","exerciseRole (and no mobility/flexibility/hiit_friendly tag)"
"GEnSPwxEqIK6HTakuXOI","מתיחות יד אחורית","","park;home","false","NO_LEVEL;NO_ROLE_OR_TAG","targetPrograms/programIds (no level);exerciseRole (and no mobility/flexibility/hiit_friendly tag)"
"J6KQxmkJHwVqVGgnKhVm","מתיחות שורש כף יד","","park;home","false","NO_LEVEL;NO_ROLE_OR_TAG","targetPrograms/programIds (no level);exerciseRole (and no mobility/flexibility/hiit_friendly tag)"
"JBfizf0KaVURhTYjXZac","חימום כפיפות צידיות","","park;home","false","NO_LEVEL;NO_ROLE_OR_TAG","targetPrograms/programIds (no level);exerciseRole (and no mobility/flexibility/hiit_friendly tag)"
"LKNAvIpuj9EtO3wUzFeV","נורדיק אחורי בעזרת גומייה","squat","home;park;office","false","NO_ROLE_OR_TAG","exerciseRole (and no mobility/flexibility/hiit_friendly tag)"
"LitmztKbOSD9MvQwBDsE","כפיפת כתף בהתנגדות גומיה","","park;home;service","false","NO_LEVEL;NO_ROLE_OR_TAG","targetPrograms/programIds (no level);exerciseRole (and no mobility/flexibility/hiit_friendly tag)"
"LvRPIsxlZMgYRNBFxFaM","מתיחת כתף","","park;home","false","NO_LEVEL;NO_ROLE_OR_TAG","targetPrograms/programIds (no level);exerciseRole (and no mobility/flexibility/hiit_friendly tag)"
"MkVq2PbvCCAM77AEEjtN","מתיחת קרסול ושוקיים","","park;home","false","NO_LEVEL;NO_ROLE_OR_TAG","targetPrograms/programIds (no level);exerciseRole (and no mobility/flexibility/hiit_friendly tag)"
"RAbscOoGqbAN8CbGEYhe","חימום הנפות","","park;home","false","NO_LEVEL;NO_ROLE_OR_TAG","targetPrograms/programIds (no level);exerciseRole (and no mobility/flexibility/hiit_friendly tag)"
"TZMFGuNweuAnTLIjyhkx","לחיצת כתפיים בהתנגות גומייה","","park;home","false","NO_LEVEL;NO_ROLE_OR_TAG","targetPrograms/programIds (no level);exerciseRole (and no mobility/flexibility/hiit_friendly tag)"
"USsalIBvXkxyITk7bRR1","פלאנק רחוק","core","park","false","NO_ROLE_OR_TAG","exerciseRole (and no mobility/flexibility/hiit_friendly tag)"
"UdAmrvtDL0nBYnj8UMe1","חימום סיבובי ידיים","","park;home","false","NO_LEVEL;NO_ROLE_OR_TAG","targetPrograms/programIds (no level);exerciseRole (and no mobility/flexibility/hiit_friendly tag)"
"UmPbE7WydxjOSw5UlDIT","כפיפת מרפקים בהתנגדות גומיה","","park;home;service","false","NO_LEVEL;NO_ROLE_OR_TAG","targetPrograms/programIds (no level);exerciseRole (and no mobility/flexibility/hiit_friendly tag)"
"Vr2htqrpnuBObpjzzzyj","לחיצת חזה בשכיבה בהתנגדות גומיה","","park;home","false","NO_LEVEL;NO_ROLE_OR_TAG","targetPrograms/programIds (no level);exerciseRole (and no mobility/flexibility/hiit_friendly tag)"
"WkXqEGdoSpq8KeC6EGAn","חימום כפיפות לפנים","","park;home","false","NO_LEVEL;NO_ROLE_OR_TAG","targetPrograms/programIds (no level);exerciseRole (and no mobility/flexibility/hiit_friendly tag)"
"XWL3TUAVmN0Dmp2btFgN","ישיבת L בתמיכת הרגליים","core","park;home;street;office","false","NO_ROLE_OR_TAG","exerciseRole (and no mobility/flexibility/hiit_friendly tag)"
"ZWx6yKLawdjSrImWUQoL","מתיחת כלב מביט מבט","","park;home","false","NO_LEVEL;NO_ROLE_OR_TAG","targetPrograms/programIds (no level);exerciseRole (and no mobility/flexibility/hiit_friendly tag)"
"ZmVz1kaBwhYqPPAqnkax","מתיחת חתול פרה","","park;home","false","NO_LEVEL;NO_ROLE_OR_TAG","targetPrograms/programIds (no level);exerciseRole (and no mobility/flexibility/hiit_friendly tag)"
"ZovShNVtJBRPgdwsngxr","חתירות בעמידה בהתנגדות גומיה","","park;home","false","NO_LEVEL;NO_ROLE_OR_TAG","targetPrograms/programIds (no level);exerciseRole (and no mobility/flexibility/hiit_friendly tag)"
"dK6Rcu8r93CeaBNOL0EU","מתיחת פרפר","","park;home","false","NO_LEVEL;NO_ROLE_OR_TAG","targetPrograms/programIds (no level);exerciseRole (and no mobility/flexibility/hiit_friendly tag)"
"eHCiPK74PTW3b7CdrhaZ","חימום סיבובי ברכיים","","park;home","false","NO_LEVEL;NO_ROLE_OR_TAG","targetPrograms/programIds (no level);exerciseRole (and no mobility/flexibility/hiit_friendly tag)"
"eHjbkb9XIK2txbwgYWH4","חימום סיבובי קרסול","","park;home","false","NO_LEVEL;NO_ROLE_OR_TAG","targetPrograms/programIds (no level);exerciseRole (and no mobility/flexibility/hiit_friendly tag)"
