page_idx,equipment_id,equipment_name,needs_create,brand,brandId,code,video_drive_id,image_drive_id,video_file,image_file
1,oRsBMGjuv72W0cGqLdot,פרפר,,Ludos,MfLM9AKpHz2p7YYQIAoH,LA-14104,1mZCgw_JmKCd-F10SHT_zE9NVEbQrOpoT,12zlEnL5kZ9TjQrEb5THluY4MHb2atuvS,מתקן פרפר LA-14104.mp4,מתקן פרפר.jpg
2,VYnPUis2nEeYzv8hvKat,הרקולס דחיפה/משיכה,,Urbanics,LfKL3h2NBrZXp4E8w56G,UBX-48c,1o22LGCWCsjd6lNWlrwtCcpM3MlqEa1hN,1zAD29_fEnV82HfecsJv8TrsAQB5s4Bzu,UBX-48C.mp4,UBX-48C.jpg
3,qf1WT03F8xmPC9OqZ0Ns,לחיצת כתפיים,,Ludos,MfLM9AKpHz2p7YYQIAoH,LA-14415,1QtSo3kB5iuIYwY2o0O960RYjNW3w6njI,1jmTubJiSGnHW2USYprCMGaeHXKyb2wFk,LA-14415 לחיצת כתפיים במכונה.mp4,LA-14415 לחיצת כתפיים.jpg
3,qf1WT03F8xmPC9OqZ0Ns,לחיצת כתפיים,,Urbanics,LfKL3h2NBrZXp4E8w56G,UBX-47,12w0etSaOn1vcVXOohmbfqwl7g8N8hVbx,1Df8lhwwwXJNJFZz6pLwo2UQa7dGP3R3h,UBX-47.mp4,UBX-47.jpg
4,JwyjEU5LgXNWzpC9FsrM,לחיצת חזה בישיבה,,Ludos,MfLM9AKpHz2p7YYQIAoH,LA-152905,1_nhOO--3O8x9ar-HXweKI7dchWOOWjfx,1YQWF2BYcLOXpcnNzuVeIMz3NGRM-0gxG,לחיצת חזה בישיבה.mp4,לחיצת חזה בישיבה.jpg
4,JwyjEU5LgXNWzpC9FsrM,לחיצת חזה בישיבה,,Urbanics,LfKL3h2NBrZXp4E8w56G,UBX-48A,1z8Xd-Q3YIWqus_FzyEF8hpVSVVcxW2sK,1SMJiDc-B00cztR-nZlVFNoSpTIkY4k0p,UBX-48A.mp4,UBX-48A.jpg
5,P55rA05ucveYiulz1uG5,פרפר פשיטה,,Urbanics,LfKL3h2NBrZXp4E8w56G,UBX-90,1PWKLOMSwrckfe-MimqoYSvR8U-4En0ju,1jeKC6CjD0xmo2iLoZ9BR9kWJYB06NVf-,UBX-90.mp4,UBX-90.jpg
6,maws21t1A3Zetfpem8rT,פולי עליון,,Ludos,MfLM9AKpHz2p7YYQIAoH,LA-14404,1DOilFqlJTQdpG4P9BJ8_w7vmPEWLHbP9,1Wi4ytaePQQlVI4MgIJ5UI0PCoo3PB64z,פולי עליון.mp4,פולי עליון.jpg
6,maws21t1A3Zetfpem8rT,פולי עליון,,Urbanics,LfKL3h2NBrZXp4E8w56G,UBX-48,15kLi-3idHjR7lLzFaw8o8iakDq42SSKx,1c1BrREMgZQV8o1bgBaePt9PPdMVz50ee,UBX-48.mp4,UBX-48.jpg
7,i3hw9DdqhVVfc4CJXV1c,דחיקת רגליים,,Ludos,MfLM9AKpHz2p7YYQIAoH,LA-14107,1w5O0UD_8XZgqJVO_GqaCrR5PUGYIyeeS,1m8XtWkYAKeXVigd14TXzEI8J2mo85mDc,דחיקת רגליים במכונה.mp4,דחיקת רגליים במכונה.jpg
