old_parkid,equipmentid,brand
578,20,Urbanics
579,20,Urbanics
580,20,Urbanics
581,20,Urbanics
582,20,Urbanics
583,20,Urbanics
584,20,Urbanics
585,20,Urbanics
586,20,Urbanics
587,20,Urbanics
588,20,Urbanics
598,20,Urbanics
609,20,Urbanics
611,20,Urbanics
612,20,Urbanics
614,20,Urbanics
645,23,Ludos
645,24,Ludos
645,28,Urbanics
645,40,Urbanics
645,39,Urbanics
645,22,Ludos
645,19,Ludos
645,21,Ludos
645,72,Urbanics
648,33,Ludos
648,25,Urbanics
648,27,Urbanics
648,21,Ludos
648,33,Ludos
648,62,Urbanics
648,63,Urbanics
648,64,Urbanics
648,72,Urbanics
648,73,Urbanics
643,72,Urbanics
643,63,Urbanics
643,59,Ludos
643,74,Urbanics
643,73,Urbanics
643,64,Urbanics
643,71,Urbanics
643,21,Urbanics
646,47,Ludos
646,26,Urbanics
646,22,Ludos
646,39,Urbanics
646,21,Ludos
646,42,Ludos
646,35,Urbanics
646,74,Urbanics
646,67,Urbanics
646,59,Ludos
646,72,Urbanics
646,65,Urbanics
647,26,Urbanics
647,40,Urbanics
647,22,Ludos
647,62,Urbanics
647,21,Ludos
647,78,Ludos
647,42,Ludos
647,79,Urbanics
647,68,Urbanics
647,64,Urbanics
647,59,Ludos
647,72,Urbanics
647,65,Urbanics
647,66,Urbanics
647,76,Urbanics
650,22,Urbanics
650,76,Urbanics
650,26,Urbanics
650,28,Urbanics
650,25,Urbanics
650,47,Ludos
650,32,Urbanics
650,34,Urbanics
650,36,Urbanics
650,78,Urbanics
650,39,Urbanics
650,42,Urbanics
650,43,Urbanics
650,72,Urbanics
650,61,Urbanics
650,74,Urbanics
650,64,Urbanics
650,63,Urbanics
650,59,Ludos
650,68,Urbanics
650,69,Urbanics
650,71,Urbanics
650,80,Urbanics
651,23,Ludos
651,29,Urbanics
651,40,Urbanics
651,22,Ludos
651,19,Ludos
651,64,Urbanics
651,72,Urbanics
652,47,Ludos
652,19,Urbanics
652,23,Urbanics
652,24,Urbanics
652,40,Urbanics
652,28,Urbanics
652,21,Urbanics
653,22,Urbanics
653,76,Urbanics
653,26,Urbanics
653,28,Urbanics
653,32,Urbanics
653,40,Urbanics
