filename,fileId
"מתח אוסטרלי.mp4",1Qxd-BxHlA4g6MmcEQ8ukICuYfLdGEhT6
"פשיטת מרפקים למתקדמים.mp4",1iDEQJzK8aVYWcl2kIrcNlR3BkW4v0JpN
"שכיבות שמיכה יד אחורית.mp4",1g0wUq0UH-C05iJIue74kEbYDzTvpmOog
"שכיבות שמיכה יד הפוכה.mp4",1jL5w491PtLFK96gUuLC59SMbEWS4mZan
"מתח מתפרץ בתפיסה הפוכה.mp4",1XBaOmvbqHe936wV87kvb6BbCP5BzcN0L
"מתח מתפרץ בתפיסה הפוכה.mp4",1mBqJRTPNLKIwwX6h0O0aNuO8ElxO2WpF
"סיבובי מפרקים.mp4",1RswJU53HzQEWDYK70KhOZKSk4qZa9HjF
"ניתוקים 2 רגליים בעמידת ידיים עם החזה לקיר.mp4",1XsAOIdT787yjUnwKVTjCBhaVVCxlwGkd
"עליות פרונט  ברכיים כפופות-חלק תחתון.mp4",1PZNCBmVL_OJPaPSRSzS69cDU6umFzilx
"עמידת ידיים חופשית.mp4",1V3mH0Ed96RqWOKHsi3nf84c3_--piaPc
"עמידות ידיים חזה לקיר - ניתוק רגל אחת.mp4",12Q9V6gjapXsbbtZkhsn4aUowD1DTg5X-
"קיק אפ.mp4",139AcwZZe5ieqC3ZFMMvAQaqcoh8Pcs8X
"עליית כוח על מתח.mp4",1TTo-_-RNwTE8PK0iflGzz5zGzpWK3V_B
"דד ליפט על המתח.mp4",1xx9sVv_3KrvMfRn8FR3tdK2KSGlhnTLe
"חתירות בתפיסה עמוקה.mp4",1-k5grB2PHp0lFz9zahTpTGheMDBr4pVG
"פרונט במנח רגל אחת בעזרת גומיה בהתנגדות נמוכה.mp4",1IR5jASTVLiqYqJ6O_i0UQpkwMSURzZjj
"פלאנץ במנח יהלום בעזרת גומיה בהתנגדות נמוכה.mp4",1LFNfdbpBjpSp7djPyPAXgR_KB5Dbb_vt
"עמידת ידיים חזה לקיר.mp4",1FGqa-g4hjYdk5VQMkR__oXKRsREYaT6A
"שכיבות סמיכה פייק -גובה אגן + ידיים ב-10 ס_מ.mp4",1tVYatNtrqxusfiEN67YsbwhIihZGSiK3
