brand,type,drive_file_id,filename,stem,reason,best_match_equipment,best_match_score
Ludos,video,10Bnf67-_EoC-2DgPU6Z62ASDGWKyOvvq,TRX ברצועות.mp4,trx ברצועות,no equipment name match (score < 0.5),רצועות חתירה TRX,0.233
Ludos,image,1-CfPToKyFm1mK1jw0aykmj6BsPyHroo8,TRX רצועות.jpg,trx רצועות,no equipment name match (score < 0.5),רצועות חתירה TRX,0.467
Ludos,video,1OqRN3E86Xyb0D96iELWYsWXJXgJ6vBA-,הנעת אגן.mp4,הנעת אגן,no equipment name match (score < 0.5),אגן והאלכסונים,0.350
Ludos,image,1-nh9py2i4gXhQPOvtfm7CQqL48yOEY_J,הנעת אגן.jpg,הנעת אגן,no equipment name match (score < 0.5),אגן והאלכסונים,0.350
Ludos,video,14a0B4o2O5G0Z5-5DYHBZRrVJLDysIwjz,כפיפות בטן.mp4,כפיפות בטן,no equipment name match (score < 0.5),מיטת עליית בטן,0.233
Ludos,image,10NJb2XW-YNJSleHBTwuV3FfaohaB8j0G,כפיפות בטן.jpg,כפיפות בטן,no equipment name match (score < 0.5),מיטת עליית בטן,0.233
Ludos,video,1CZmnS3QEilAqMPRvgPkTh3glzW2bM0Y_,מדרגות קפיצה.mp4,מדרגות קפיצה,no equipment name match (score < 0.5),מדרגות אימון,0.350
Ludos,image,1l6uLBrjjrX20Bjcs0sjLYnopTjmuhYBc,מדרגות קפיצה.jpg,מדרגות קפיצה,no equipment name match (score < 0.5),מדרגות אימון,0.350
Ludos,video,1s1Js6_gJSkG1yAQQkY9N1lWsLV2ba1LM,סטיפר.mp4,סטיפר,no equipment name match (score < 0.5),אגן והאלכסונים,0.000
Ludos,image,1SooKvnwZ2-z3C5bm53gyzgxCa61R42P4,סטיפר.jpg,סטיפר,no equipment name match (score < 0.5),אגן והאלכסונים,0.000
Ludos,video,1h42VWpCcbeX4fF_L29W9i522QssxQ9Ks,סקאווט.mp4,סקאווט,no equipment name match (score < 0.5),אגן והאלכסונים,0.000
Ludos,video,1_CCYVbrcKSIJTROG7J8SdmxRllM9SPAO,סקי קרוסטריינר.mp4,סקי קרוסטריינר,no equipment name match (score < 0.5),סקי רחיפה,0.350
Ludos,image,1c0tbZ4mh-5HPFOTOdzBjg2Z-zi1ki7Vx,סקי קרוסטריינר.jpg,סקי קרוסטריינר,no equipment name match (score < 0.5),סקי רחיפה,0.350
Urbanics,image,1AhOEzTVR5VHmGYxI6ceKDMLKj4lU39HZ,ubx 22a.jpg,ubx 22a,no equipment name match (score < 0.5),אגן והאלכסונים,0.000
Urbanics,video,10bpdLRRhKQhgx1pix1BMd6cggQKQey5e,UBX-09.mp4,ubx-09,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,image,1cXjBVK8CEvlyu9BKs75Q_Fc12onb_vQZ,UBX-09.jpg,ubx-09,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,video,1GHZCLHheXmZah3F5z8kSaOchUPgYnMTb,UBX-108.mp4,ubx-108,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,image,1nqnTvrjaeHEYlXMUZdaryxRZXR5zZ7KF,ubx-108.jpg,ubx-108,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,video,1njZUMyJcWSKM3mbf8h29ieT47gPryEog,UBX-14a.mp4,ubx-14a,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,video,1FH8WjPX0nKdqwc7mXjroIZfRDrVdKu-o,UBX-16.mp4,ubx-16,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,video,1RbWytFY8FWawo8yf3f4FLcur7UQCD5sm,UBX-17.mp4,ubx-17,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,video,1gmD2Es40YwnrQhZZqmvDUiKO24uNshTs,UBX-19.mp4,ubx-19,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,image,1q0s4C76dqoNBmNuWZivsMSRB1DelTnQK,UBX-19.jpg,ubx-19,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,video,1nyg-RHURlqjd31aHiKt1jGFZAArGL0ma,UBX-208.mp4,ubx-208,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,image,1s--NidLIkX7bXGUBaMasH2UG5OH2qjbP,UBX-208.jpg,ubx-208,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,video,1LNH9GS-I-3jk27av2iRAcLFGKy7u21_Q,UBX-215.mp4,ubx-215,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,image,1Po3hF3F1OcpjvM02Zg1t2Sua45wkmxf6,UBX-215.jpg,ubx-215,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,video,1BUVOdrn4S5G-_fQ_PFMMNjIl8608YtUO,UBX-217.mp4,ubx-217,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,image,1hx5SNlBLYt25TwZVSlZseuM3OwHyz_xN,UBX-217.jpg,ubx-217,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,image,14a04VBylvjvPjOkuElcknx7behpH5MDq,UBX-22.jpg,ubx-22,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,video,1Q8w-bVZK3PwYlwjtkiEbqQMfRtvRgQXR,UBX-22-a.mp4,ubx-22-a,"UBX-22-A — code not in dictionary, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,video,1tz6VOJOv8DjiWEIUB5kZ-fA5abmXQmun,UBX-227.mp4,ubx-227,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,image,1_I_GSHkB2I8WDM8Cqg46r5rbdWWsQfWH,UBX-227.jpg,ubx-227,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,video,1a5vicb3DJpPhXGMBPW_BAfi-YiBkSiqt,UBX-22a.mp4,ubx-22a,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,video,1zXR1avlDFwO-138ZMVTdsKp8kMZqE1oS,UBX-23.mp4,ubx-23,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,image,1RGXzQp0KTVFbH7ad_nZTtlG7UQrkLlv5,UBX-23.jpg,ubx-23,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,video,1ZPsxYdkpmngDKhJFGGlisz98d1kGDRm_,UBX-232.mp4,ubx-232,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,image,1T1BriqCmVMxE6tL9t0b-VLoisPYEAs67,UBX-232.jpg,ubx-232,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,video,1KNhZBDifRWUax0eDE0v5OIRD7U6XDJ13,UBX-244.mp4,ubx-244,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,image,1YhCVKvD684TpJkUlqdOllQpeAn-16obq,UBX-244.jpg,ubx-244,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,image,1rO6u3tk16X5PB7JuLmKetkKuyfabzklJ,UBX-244_1.jpg,ubx-244_1,"UBX-244_1 — code not in dictionary, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,video,1cuHpSdiXY1t33G1ibDUiAVpuPO00U8UV,UBX-246.mp4,ubx-246,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,image,1cOGp5wR7vsPhBYDqPQ3eh5ochyX-lf85,UBX-246.jpg,ubx-246,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,video,15xoOt1I1DCT7yH0RElXrOa2qMkvXny3W,UBX-258.mp4,ubx-258,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,image,1jvwWzulAYCJs4v818UF0RB3rT-_02ij7,UBX-258.jpg,ubx-258,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,video,1qUTNBuw5FwMBpd7hCHHhN1xyTh-cZpLv,UBX-287.mp4,ubx-287,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,image,1HM0VUjkefqZe8snpFZ3q0M1SvyHIH49w,UBX-287.jpg,ubx-287,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,video,1JJlNWZxgWfaozHiOZSTmYdseOn6Wzj0k,UBX-288.mp4,ubx-288,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,image,1X9g-hOikLv-lJBpYRkjdmS_WnWwypEvF,UBX-288.jpg,ubx-288,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,video,1tGRtcc2PAchWF-p002OhSO0R5Ljo_eJS,UBX-289.mp4,ubx-289,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,image,1Oy8ej9sU4259FvsuMHQ_wGxjtxh9l9ZB,UBX-289.jpg,ubx-289,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,video,1zCJEPLbKuv3i11az_RvzX-ZPbASW_hiH,UBX-290.mp4,ubx-290,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,image,1ZJlXCr-W_mRVQNv9_cRlLIkXgEUPx5vc,UBX-290.jpg,ubx-290,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,video,1SyvZqpqyedIgciA3KOONVAjG507Bog0t,UBX-291.mp4,ubx-291,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
Urbanics,image,1AxVZ2wLuxLGaifRmh8Dc4nq8dpB5WuXR,UBX-291.jpg,ubx-291,"UBX-number-only — no catalog entry, manual mapping needed",אגן והאלכסונים,0.000
