exercise_id,name_he,park_gear,home_gear,video_url,service_gear_final
"uujJWUGNVRx0G2GEr9S3","הרחקת כתף ימין","","","https://iframe.mediadelivery.net/embed/640043/e5252fe9-bfcd-49f0-9fbb-6432cdb2315c",""
"LitmztKbOSD9MvQwBDsE","כפיפת כתף בהתנגדות גומיה","","גומיית התנגדות","https://iframe.mediadelivery.net/embed/640043/62ae7e7f-7d76-4a33-96d8-a66684d2e4f9","גומיית התנגדות"
"UmPbE7WydxjOSw5UlDIT","כפיפת מרפקים בהתנגדות גומיה","","גומיית התנגדות","https://iframe.mediadelivery.net/embed/640043/2479597f-3d56-41c0-bca9-279fa5c2a0ae","גומיית התנגדות"
"WRY4OTLIfEYxdIWZ82hm","החזקת מתח יד אחת ב-90°","מתח | טבעות","מתח לדלת | טבעות","https://iframe.mediadelivery.net/embed/640043/62a2bdd9-3ad5-4180-b96e-efc06dd244bc","מתח"
"0AoeD3sBQjqWvchrHPYp","שכיבות סמיכה ברכיים","","","https://iframe.mediadelivery.net/embed/640043/0a797507-d9e1-463e-92b1-62c7ec87ac3c",""
"w2uCZ8u7q5i09EFxzOCB","שכיבות סמיכה ב-60°","סולם שוודי | ספסל רחוב","","https://iframe.mediadelivery.net/embed/640043/d97d3fc9-da18-4c27-bfda-903f9f1d4d70",""
"dGG8JVTj1NeSAEDhxvJT","שכיבות סמיכה ב-45°","מדרגות אימון","כיסא","https://iframe.mediadelivery.net/embed/640043/05e989e7-f194-4d8a-aa14-3fc4a20edbb8","כיסא"
"wYsAsYROBOsZfwm0GcKX","שכיבות סמיכה רחבות","","","https://iframe.mediadelivery.net/embed/640043/47244f4a-de50-4080-b03c-ee20cb7ac49a",""
"CybbIJXFkL7ZxvKkIiQE","שכיבות סמיכה יהלום","","","https://iframe.mediadelivery.net/embed/640043/7a19e7a3-bb92-4757-8b5d-1afa74238861",""
"gZqAE68NQJnREu60C88S","שכיבות סמיכה מרפקים צמודים","","","https://iframe.mediadelivery.net/embed/640043/19116780-451a-4aba-af2f-7d224f88bc4d",""
