drive_file_id,equipment_id,brand_index,equipment_name,brand_name
1DS4FpVr1LTes9pIPLBXNgwB5wo3kWF2Q,DkoNvkAHEstnLKtUMq21,0,חבל טיפוס,Ludos
1_nhOO--3O8x9ar-HXweKI7dchWOOWjfx,JwyjEU5LgXNWzpC9FsrM,0,לחיצת חזה בישיבה,Ludos
1HgmbPltDHUn9Y9RvaGC6ZfaPOoGQh032,qf1WT03F8xmPC9OqZ0Ns,0,לחיצת כתפיים,Urbanics
1-z2iq5-vDl6e_5yeYuhiWT40MEC3ueVP,rsGezdRxG5hayY7x88pJ,0,מתח,Ludos
1Wira1e-_nToU3QH9s-0ewQKd1wOBqCZq,xQ617v3yzLpVQv4ChfRJ,0,סולם שוודי,Ludos
1DOilFqlJTQdpG4P9BJ8_w7vmPEWLHbP9,maws21t1A3Zetfpem8rT,0,פולי עליון,Urbanics
1faq7nxfILz1KDJrlOKY_b6h4QgShIWgT,oRsBMGjuv72W0cGqLdot,0,פרפר,Urbanics
1TjoH4HK-qXBPrk7VvHCX396HWp8vacuJ,nTGwwNtSZc9x3pxuUhTj,0,צעידה באוויר,Urbanics
12LRBoisHiErkwihUGa8LR14y44h9MNez,fh7IyTfVIx0FBXebplTO,0,אופני ידיים,Urbanics
1w5O0UD_8XZgqJVO_GqaCrR5PUGYIyeeS,i3hw9DdqhVVfc4CJXV1c,0,דחיקת רגליים,Urbanics
1ls-EwyLF62sy4ZyX4YlXUbcI5PATQOyQ,kvJCQu6OJ78Pm4ZM5AfN,0,כפיפת מרפקים - במכונה,Ludos
1SIuhd7HK2NRoXNHHYv-kLe0aNAAjzzNS,VQoqHLfhHGhPsaz2zsQO,0,מקבילים ארוכים,Ludos
1nuYDKO_AHOT5RJKq-LBQ2Rx9_4uheH8E,eiaTxyrI7HouRN2UNwyu,0,סקוואט כנגד מכונה,Ludos
1GawyTvW1ln5PRLk0AdpVeKaE5f6l9hke,xL1I7KTda4blmdg1azGu,0,טבעות אולימפיות,Ludos
1dgHo-p2IQWcGR4Gqoi1E1WwW_8NcjOHu,Q3Vekl2Na735FCpqxwHD,0,טבעות אימון,Ludos
1qTAm_3wQDftYhdDKcUOkS2wxsUmLFlQ6,CwSf7uYJL6Qwj6ADgLSR,0,קטלבל,Ludos
