drive_file_id,exercise_id,method_index,exercise_name,location
1Qxd-BxHlA4g6MmcEQ8ukICuYfLdGEhT6,8Fn68O2jggNncaAgMoYG,0,מתח אוסטרלי ב-30° מעלות,park
1iDEQJzK8aVYWcl2kIrcNlR3BkW4v0JpN,PM16d9WoigHe5Z7SDRCt,0,פשיטת מרפקים למתקדמים,park
1g0wUq0UH-C05iJIue74kEbYDzTvpmOog,mDPDDIYx8JEqrwSamDqa,0,שכיבות סמיכה ספינקס,park
1jL5w491PtLFK96gUuLC59SMbEWS4mZan,0bUiqoNXseMCAR2IGuKu,0,שכיבות סמיכה סופינציה,park
1PZNCBmVL_OJPaPSRSzS69cDU6umFzilx,r6F53Wm92MuJiDRQsEdp,1,הרמות פרונט לבר בטאק,park
1TTo-_-RNwTE8PK0iflGzz5zGzpWK3V_B,4ce7GeLA60a6zxtbDBW1,0,עליית כוח בעזרת תנופה,park
1xx9sVv_3KrvMfRn8FR3tdK2KSGlhnTLe,VS3FjnFAgULO96XLMK72,1,דדליפט הפוך,park
1-k5grB2PHp0lFz9zahTpTGheMDBr4pVG,JA9KlPvSiSUaFY0jDF1S,0,חתירות באחיזה עמוקה,park
1LFNfdbpBjpSp7djPyPAXgR_KB5Dbb_vt,W69akLqaO2HD6y9ydzKe,1,פלאנץ׳ יהלום בעזרת גומייה דקה,park
1FGqa-g4hjYdk5VQMkR__oXKRsREYaT6A,PVqGiE3xg76Dg0EXUsqZ,0,עמידת ידיים חזה לקיר,park
1tVYatNtrqxusfiEN67YsbwhIihZGSiK3,862hyZowOu16yxls8MWf,0,שכיבות סמיכה פייק עמוקות גובה אגן,park
1QABn6cjdMYdfmF9qO_JE7n-re8DAu2Pn,oFjSRmVT4jDTg3bTfoFg,0,מקבילים על טבעות,park
1m2HdNLsKY2tu3qi_ywdOpRKOhJfkH5oV,Am5MHd1RothiK0lvlXAF,0,מתח מכונת כתיבה (Typewriter),park
1qvnIt5bOYM-EVcRuzv1o3SIjcexEaRUk,HSYxn9dL4d9nUImW3Y7G,1,לחיצה מישיבת L לפלנאץ׳ בטאק,park
1V_gps9ySTdZzLqAbaqbDH-OrWfYrU-hX,IEoGYRVKRxjaA0fQZNDw,0,ישיבת L רגל אחת,park
1GLOc-VP8dfQo6Lpu_A4XvpfurBC3j52l,aZPJ8uG279yATHs2mkba,0,חתירות יד אחת ב-45°,park
174_dg_cxPBxW7lqh38mHEa2FyohSzQge,H9ySMJX46OSm3TgpGn3l,1,הרמות פרונט לבר בטאק מתקדם,park
