drive_file_id,exercise_id,exercise_name,location,match_type
"1Oo1XHH_MSh8YR8JLlN6awCVzcBooVme9","uujJWUGNVRx0G2GEr9S3","הרחקת כתף ימין","service","exact"
"1v-HQv7FRtBclxAPLHBaz0mW9Szh_YbO_","LitmztKbOSD9MvQwBDsE","כפיפת כתף בהתנגדות גומיה","service","exact"
"1gQrpJJIB1-3IbY6f78a6YCEzQSplNTiw","UmPbE7WydxjOSw5UlDIT","כפיפת מרפקים בהתנגדות גומיה","service","exact"
"1TfQMJtHEjcrk0eLzl1jMM46KY-6nBxFn","WRY4OTLIfEYxdIWZ82hm","החזקת מתח יד אחת ב-90°","service","fuzzy"
"1OhbtFUoO3kxztL81uGENQFiD_9hGBKrx","0AoeD3sBQjqWvchrHPYp","שכיבות סמיכה ברכיים","service","exact"
"1C0Q3Y5xxENA1oKaB0bgU_Tvlcn19ZaHU","w2uCZ8u7q5i09EFxzOCB","שכיבות סמיכה ב-60°","service","fuzzy"
"1js4GdbYrT-Oi8ibQNqMtEyDX0Kjn6oBk","dGG8JVTj1NeSAEDhxvJT","שכיבות סמיכה ב-45°","service","fuzzy"
"1zAi9_Yu-EqjAOS0E0GWxoGm_bcaUDKBI","wYsAsYROBOsZfwm0GcKX","שכיבות סמיכה רחבות","service","exact"
"1R2aTXBmexgAz6RtAtnhMhErSoUw4gOIH","CybbIJXFkL7ZxvKkIiQE","שכיבות סמיכה יהלום","service","exact"
"1oWRUvWehKsMtiF_WCJMO3uRhDnfswROd","gZqAE68NQJnREu60C88S","שכיבות סמיכה מרפקים צמודים","service","exact"
"1OwsOe6mNHibQX750VENjqLYDcSLPKuuB","T4TOz1GLjfpwU1NQtz3r","שכיבות סמיכה בפישוק","service","exact"
"1QDZum-97PtslHCfMe4gVP7vNkA7M91vj","mDPDDIYx8JEqrwSamDqa","שכיבות סמיכה ספינקס","service","exact"
"1Y_jxeCm_I6GrFOy4SuGZa4L7P7d-OTOI","5Sex2i0m3X7PE3SicCHk","שכיבות סמיכה שיפוע שלילי","service","exact"
"1EMBXj-5Ea720GVHOIGkVzq66OSxslvP9","q4o11pc4r1c7tUfCKse5","שכיבות סמיכה קשתים","service","exact"
"14GCrm3-1z7wlYb0fTHrLR14r6RE3sr2i","GEWFBnyTrhoe4HVon0H0","שכיבות סמיכה מתפרץ","service","exact"
"1ntj0A5vRrDjQQIHKu9wQXcd1_tkJVhk6","34JqI5TOOlCgFOW12311","סקוואט","service","exact"
"1eWnds8rxD2fRAGoDzNvrZ3Go25wZ0WBb","uPBc9pfM6jOLg5LwuShN","סקוואט קפיצה","service","exact"
"1LZzb8Byz4ps-MYzK2LfYkk9Db4l3G_4d","qKejKkdy3IZhYj4CKxJ8","לאנג׳ קדמי","service","exact"
"1UfBTt-Ha8zEaAZXASTZLY_KKcJZ2R78d","b3NXJVRxYK5UcynPHtCV","לאנג׳ אחורי","service","exact"
"1Z3J4wvpzU8XJX8Zg9VQwmuUWu41MDdG0","A6ktP57z5Pvp3XkS6vGQ","לאנג׳ בולגרי","service","exact"
"19gJgaBqgEgEdrRoWmYhRMaGslhdpmLvN","g9078RNsKL3NmNYQK5Zx","סקוואט קשתים טווח חלקי","service","exact"
"18GtvQJq0m8daqz1Y3XX3hKCILiIAcAEb","ngkItZpohyxbqrshlVpk","סקוואט קשתים","service","exact"
"17XNWyzSewzw8gktZGZ1I_HXY20QUXCCL","IvNc2jSwqscdwDfcBlwc","היפ טראסט","service","exact"
"1OjlJ3BNDKNc2-jMB5S922DHoYw7PXWL1","j7vOGJMwlJR4K7MaaF24","היפ טראסט רגל אחת","service","exact"
"1l8XfQecEifyNi8OnpGm6bU3gJQ68lvSc","TXeGlGA7ECHGKQIhlcs7","היפ טראסט מוגבה","service","exact"
"1MYMysZsU8wS41dpOzjlAztRuJFOzTtgl","sgmx86BRQqbUm0RpXBQM","היפ טראסט מוגבה רגל אחת","service","exact"
"1QV93eiB-RnyKPSBMAydZea0J1LmGQMMX","3O5BDlJVD34kjYm3Emo8","דדליפט רגל אחת","service","exact"
"19abWi8QdweWK6R9Mzg-lLPGEbyblgsxB","4kww5BB13UkNaaAjZKS0","סמוך קום","service","exact"
"19kM-CAwZGM5fracnw1rAJlGxt38sHvct","fuNkwOpFCxk1xLuWGgtW","קפיצה גובה אגן","service","exact"
"1o5dekH5p9B4mz9tQ0qnwyjaWgTfZEd3u","34giCNuppaFW74zpfFCA","עליית מדרגה גובה ברך","service","exact"
"1eep854uWtXYEl1w-safj-wAU3WNgVc0X","ePHjx7haP7HrTU7YOgop","קפיצה גובה שוק","service","exact"
"1k_UNzhYsKXPwdHBWsiyxRtsb0F3wBkwk","Rrdk6Knl26ESlG1Ok0Pm","קפיצה גובה ברך","service","exact"
"17Ut15ZNPgA8XXZZmYXnCq1wU82iZXUMs","Nr5P0Q3N7A0DffKjMVRn","שרימפ סקוואט בלי ידיים טווח חלקי","service","exact"
"1JKWKv-OmK1gjPAPaisiE9JvrjaUMtJSR","C8AORxqqLojlgKhEiekN","שרימפ סקוואט בתמיכת רגל","service","fuzzy"
"1b-0PmgO0khG6hz7jCpF46DWj6DHcNgsO","hSungsi3vi6nm7rQLHlP","שרימפ סקוואט בלי ידיים","service","exact"
"1MJ27z89U8d2_UlpA0VBYs5aC1aVLScKW","FHh3m3suMMtoLk1PrxYv","פלאנק","service","exact"
"1M_7AjsLh4K049bztfxeaYvy-vHxQGOV6","ecr0mBSRkTq6nQ8RVN91","שכיבות סמיכה","service","exact"
"1PjkvT8Wl5Igu18V5N89qwZPfD9-L0j2a","uRelXXhk4iDsccOxuTsj","קראנץ","service","exact"
"1TTgk1QZ7_Nyf-uGsIdqcj47By1CwqIGf","5cdQOV3Kl5EpnyUt1JuG","כפיפות בטן חצי טווח","service","exact"
"1qzh66zANVsXYgCtdl3NYcVIMbQyowdqd","BcsFnuiLx1fZY2SIVhoC","אופניים","service","exact"
"1Q0jF2w_XNyf3CgjGLydtTfxRaYZaiTYB","qhIpGmdbCe3uv5bKRPQK","מספריים אופקיים בשכיבה","service","fuzzy"
"1j3XhF2QuiCUTVLe6IeoAotpHc3Day1DE","qRoLtKTPXF3CJsQ9hMTg","פינגווינים","service","exact"
"1dmx53upyYBTVWu_nYn1g00KeDbY9iKa2","BLbgAyNJSZCc4YsoOxtP","החזקת הולו באדי","service","exact"
"14zdDdTL--KRo2rrVURieHxMhDBDKXeIh","Z3DNlwJAulyI28a8Kji7","עליות ספר רגליים ישרות","service","exact"
"1jEwiS-GUacbLWr43UM0ROpaON1PBQR_b","lGZxrjALhrrGWxnwNOTW","ספר ברכיים כפופת","service","fuzzy"
"1G2uzGxY9MPk-rJtQhBNk1rDwzJ6H0JkX","tXXikNYiAIcK3yPgybF1","עליות רגליים בשכיבה","service","exact"
"11JkDVUofOjQIQ3AaRmGIteUwbE2PzJXT","RxpMhnXQBW80jq1no41f","שולחן הפוך","service","exact"
"1L8gF7m3E7A7RMtNuppc1MycTpnz8AyzC","kF3kYAMIEf2jyAHwS7qf","פשיטת מרפקים על ספסל","service","exact"
"1DTk_iPQNZhFYMfJd5T_vqxU7wWk4QwwS","WQBYjQxJEc9Y6FWHigTH","עמידת פייק גובה ברך","service","exact"
"1YWXGai9nIqklORCwxHhGIHymDgFI5B9o","7G0s5hR2qyc6tSRZsplm","שכיבות סמיכה פייק גובה ברך","service","exact"
"1LqptLQnPEZZ63jyVrBm8hF1hiWWYTWpc","9BBOvu1SNMzNxgPun8ZH","עמידת פייק","service","exact"
"1LETp-ikETD-0KudJMq0HpgH4AEQgNxp0","MwH75rBMKq65J9B86yUq","שכיבות סמיכה פייק","service","exact"
"1t56ibpmHJylnoORR96LzaXupWLm0_8Lr","862hyZowOu16yxls8MWf","שכיבות סמיכה פייק עמוקות גובה אגן","service","exact"
