unitId,name,nickname,level,parentId,armType,serviceType,displayNumber
bde_1,חטיבה 1,גולני,brigade,,חי״ר,regular,1.0
bn_12,גדוד 12,ברק,battalion,bde_1,חי״ר,regular,12.0
bn_13,גדוד 13,גדעון,battalion,bde_1,חי״ר,regular,13.0
bn_51,גדוד 51,הבוקעים הראשון,battalion,bde_1,חי״ר,regular,51.0
bn_u_סיירת_גולני,סיירת גולני,,battalion,bde_1,חי״ר,regular,
bde_2,חטיבה 2,כרמלי,brigade,,חי״ר,reserve,2.0
bn_223,גדוד 223,,battalion,bde_2,חי״ר,reserve,223.0
bn_9206,גדוד 9206,,battalion,bde_2,חי״ר,reserve,9206.0
bn_9208,גדוד 9208,,battalion,bde_2,חי״ר,reserve,9208.0
bde_5,חטיבה 5,השרון,brigade,,חי״ר,reserve,5.0
bn_131,גדוד 131,,battalion,bde_5,חי״ר,reserve,131.0
bn_8110,גדוד 8110,,battalion,bde_5,חי״ר,reserve,8110.0
bn_8111,גדוד 8111,,battalion,bde_5,חי״ר,reserve,8111.0
bn_7020,גדוד 7020,,battalion,bde_5,חי״ר,reserve,7020.0
bn_5505,גדוד 5505,,battalion,bde_5,חי״ר,reserve,5505.0
bde_6,חטיבה 6,עציוני,brigade,,חי״ר,reserve,6.0
bn_7007,גדוד 7007,,battalion,bde_6,חי״ר,reserve,7007.0
bn_8103,גדוד 8103,,battalion,bde_6,חי״ר,reserve,8103.0
bn_9211,גדוד 9211,,battalion,bde_6,חי״ר,reserve,9211.0
bn_6609,גדוד 6609,,battalion,bde_6,חי״ר,reserve,6609.0
bde_7,חטיבה 7,,brigade,,שריון,regular,7.0
bn_75,גדוד 75,רומח,battalion,bde_7,שריון,regular,75.0
bn_77,גדוד 77,עוז,battalion,bde_7,שריון,regular,77.0
bn_82,גדוד 82,געש,battalion,bde_7,שריון,regular,82.0
bn_603,גדוד 603,הנדסה,battalion,bde_7,שריון,regular,603.0
bn_293,גדוד 293,,battalion,bde_7,שריון,regular,293.0
bde_8,חטיבה 8,הזקן,brigade,,שריון,reserve,8.0
bn_89,גדוד 89,,battalion,bde_8,שריון,reserve,89.0
bn_121,גדוד 121,,battalion,bde_8,שריון,reserve,121.0
bn_129,גדוד 129,,battalion,bde_8,שריון,reserve,129.0
bn_8170,גדוד 8170,,battalion,bde_8,שריון,reserve,8170.0
bde_9,חטיבה 9,עודד,brigade,,חי״ר,reserve,9.0
bn_7011,גדוד 7011,,battalion,bde_9,חי״ר,reserve,7011.0
bn_9204,גדוד 9204,,battalion,bde_9,חי״ר,reserve,9204.0
bn_9210,גדוד 9210,,battalion,bde_9,חי״ר,reserve,9210.0
bn_6828,גדוד 6828,,battalion,bde_9,חי״ר,reserve,6828.0
bde_11,חטיבה 11,יפתח,brigade,,חי״ר,reserve,11.0
bn_5037,גדוד 5037,,battalion,bde_11,חי״ר,reserve,5037.0
bn_7009,גדוד 7009,,battalion,bde_11,חי״ר,reserve,7009.0
bn_9221,גדוד 9221,,battalion,bde_11,חי״ר,reserve,9221.0
bn_7108,גדוד 7108,,battalion,bde_11,חי״ר,reserve,7108.0
bde_12,חטיבה 12,נגב,brigade,,חי״ר,reserve,12.0
bn_6863,גדוד 6863,,battalion,bde_12,חי״ר,reserve,6863.0
bn_7006,גדוד 7006,,battalion,bde_12,חי״ר,reserve,7006.0
bn_9217,גדוד 9217,,battalion,bde_12,חי״ר,reserve,9217.0
bde_14,חטיבה 14,מחץ,brigade,,שריון,reserve,14.0
bn_79,גדוד 79,,battalion,bde_14,שריון,reserve,79.0
bn_87,גדוד 87,,battalion,bde_14,שריון,reserve,87.0
bn_184,גדוד 184,,battalion,bde_14,שריון,reserve,184.0
bn_2714,גדוד 2714,,battalion,bde_14,שריון,reserve,2714.0
bde_16,חטיבה 16,ירושלים,brigade,,חי״ר,reserve,16.0
bn_7015,גדוד 7015,,battalion,bde_16,חי״ר,reserve,7015.0
bn_8119,גדוד 8119,,battalion,bde_16,חי״ר,reserve,8119.0
bn_9207,גדוד 9207,,battalion,bde_16,חי״ר,reserve,9207.0
bn_6310,גדוד 6310,,battalion,bde_16,חי״ר,reserve,6310.0
bde_35,חטיבה 35,צנחנים,brigade,,צנחנים,regular,35.0
bn_101,גדוד 101,,battalion,bde_35,צנחנים,regular,101.0
bn_202,גדוד 202,,battalion,bde_35,צנחנים,regular,202.0
bn_890,גדוד 890,,battalion,bde_35,צנחנים,regular,890.0
bn_u_סיירת_צנחנים,סיירת צנחנים,,battalion,bde_35,צנחנים,regular,
bde_55,חטיבה 55,חוד החנית,brigade,,צנחנים,reserve,55.0
bn_285,גדוד 285,,battalion,bde_55,צנחנים,reserve,285.0
bn_697,גדוד 697,,battalion,bde_55,צנחנים,reserve,697.0
bn_699,גדוד 699,,battalion,bde_55,צנחנים,reserve,699.0
bn_7158,גדוד 7158,,battalion,bde_55,צנחנים,reserve,7158.0
bn_6623,גדוד 6623,,battalion,bde_55,צנחנים,reserve,6623.0
bde_84,חטיבה 84,גבעתי,brigade,,חי״ר,regular,84.0
bn_424,גדוד 424,שקד,battalion,bde_84,חי״ר,regular,424.0
bn_432,גדוד 432,צבר,battalion,bde_84,חי״ר,regular,432.0
bn_435,גדוד 435,רותם,battalion,bde_84,חי״ר,regular,435.0
bn_u_סיירת_גבעתי,סיירת גבעתי,,battalion,bde_84,חי״ר,regular,
bde_179,חטיבה 179,ראם,brigade,,שריון,reserve,179.0
bn_7107,גדוד 7107,,battalion,bde_179,שריון,reserve,7107.0
bn_8104,גדוד 8104,,battalion,bde_179,שריון,reserve,8104.0
bde_188,חטיבה 188,ברק,brigade,,שריון,regular,188.0
bn_53,גדוד 53,סופה,battalion,bde_188,שריון,regular,53.0
bn_71,גדוד 71,רשף,battalion,bde_188,שריון,regular,71.0
bn_74,גדוד 74,סער,battalion,bde_188,שריון,regular,74.0
bn_605,גדוד 605,הנדסה,battalion,bde_188,שריון,regular,605.0
bn_39,גדוד 39,,battalion,bde_188,שריון,regular,39.0
bde_214,חטיבה 214,קלע דוד,brigade,,אש/מיוחדים,regular,214.0
bn_5353,יחידה 5353,רוכב שמיים,battalion,bde_214,אש/מיוחדים,regular,5353.0
bn_5252,יחידה 5252,זיק,battalion,bde_214,אש/מיוחדים,regular,5252.0
bn_427,יחידה 427,מיתר,battalion,bde_214,אש/מיוחדים,regular,427.0
bn_moran,יחידת מורן,מורן,battalion,bde_214,אש/מיוחדים,regular,
bde_215,חטיבה 215,עמוד האש,brigade,,תותחנים,mixed,215.0
bn_402,גדוד 402,,battalion,bde_215,תותחנים,mixed,402.0
bn_404,גדוד 404,,battalion,bde_215,תותחנים,mixed,404.0
bn_531,גדוד 531,,battalion,bde_215,תותחנים,mixed,531.0
bn_8194,גדוד 8194,,battalion,bde_215,תותחנים,mixed,8194.0
bn_9260,גדוד 9260,,battalion,bde_215,תותחנים,mixed,9260.0
bde_226,חטיבה 226,נשר,brigade,,צנחנים,reserve,226.0
bn_7056,גדוד 7056,,battalion,bde_226,צנחנים,reserve,7056.0
bn_9255,גדוד 9255,,battalion,bde_226,צנחנים,reserve,9255.0
bn_9263,גדוד 9263,,battalion,bde_226,צנחנים,reserve,9263.0
bn_6226,גדוד 6226,,battalion,bde_226,צנחנים,reserve,6226.0
bde_228,חטיבה 228,אלון,brigade,,חי״ר,reserve,228.0
bn_920,גדוד 920,,battalion,bde_228,חי״ר,reserve,920.0
bn_5030,גדוד 5030,,battalion,bde_228,חי״ר,reserve,5030.0
bn_8109,גדוד 8109,,battalion,bde_228,חי״ר,reserve,8109.0
bn_6228,גדוד 6228,,battalion,bde_228,חי״ר,reserve,6228.0
