id,name,city,park_id,address,day,time,duration_min,coordinator,phone,registration_link,description,persona,image_path,status,location_note,import_note
tzav-tlv-sportek-sun,צו כושר — תל אביב,תל אביב,,ספורטק תל אביב,ראשון,20:00,60,"עידו שוחט, מתן אלמוסלינו",,https://www.tzavcosher.com/,,reserve,,existing,,כבר קיימת בפרודקשן — נוצרה ידנית בפאנל. לא ליצור מחדש. להשוות ולדווח פערים בלבד
tzav-rehovot-sun,צו כושר — רחובות,רחובות,,פארק קנדלר,ראשון,20:00,60,רון אדם,,https://www.tzavcosher.com/,,reserve,,active,,אין פארק תואם במאגר — city-level, קואורדינטת עיר בלבד
tzav-beer-sheva-sun,צו כושר — באר שבע,באר שבע,,פארק המכתש,ראשון,20:15,60,יובל זיסקינד,,https://www.tzavcosher.com/,,reserve,,active,,אין פארק תואם במאגר — city-level
tzav-kiryat-gat-sun,צו כושר — קרית גת,קרית גת,,ספורטק קרית גת,ראשון,20:30,60,בר דריבן,,https://www.tzavcosher.com/,,reserve,,active,,אין אף פארק רשום לקרית גת במאגר — city-level
tzav-pardes-hana-mon,צו כושר — פרדס חנה,פרדס חנה-כרכור,,"הנחילות 2, כרכור",שני,19:45,60,ניר ריכמן,,https://www.tzavcosher.com/,,reserve,,active,,geocoding הצליח (רלוונטיות 0.727) — exact עם כתובת מדויקת
tzav-tlv-frishman-mon,צו כושר — תל אביב (פרישמן),תל אביב,iVAbiWjusg3TbXHtQMH7,חוף פרישמן,שני,19:00,60,טל גרינר,,https://www.tzavcosher.com/,,reserve,,active,,"דוד הכריע: ""גינת כושר חוף פרישמן 1"" — התאמה הכי קרובה לשם במקור, לא ודאות מוחלטת"
tzav-herzliya-mon,צו כושר — הרצליה,הרצליה,,פארק הרצליה,שני,19:00,60,דניאל גרין,,https://www.tzavcosher.com/,,reserve,,active,,אין פארק תואם במאגר — city-level
tzav-hevel-yavne-tue,צו כושר — חבל יבנה,חבל יבנה,,"בניין המועצה, מועצה אזורית חבל יבנה",שלישי,20:00,60,רון אדם,,https://www.tzavcosher.com/,,reserve,,active,,"city-level, קואורדינטת ""יבנה"" כקירוב בלבד — לא מדויק למועצה האזורית עצמה. מוצג רק כעיר, לא כמרחק, אז זה בסדר"
tzav-alumim-tue,צו כושר — קיבוץ עלומים,קיבוץ עלומים,,גן הדר,שלישי,20:15,60,רעות יאנג,,https://www.tzavcosher.com/,,reserve,,active,,אין פארק תואם במאגר — city-level
tzav-haifa-tue,צו כושר — חיפה,חיפה,,ספורטק חיפה,שלישי,19:00,60,יובל בטושה,,https://www.tzavcosher.com/,,reserve,,active,המיקום משתנה משבוע לשבוע — חוף דדו / היער / האצטדיון. לוודא מול הרכז לפני הגעה,מיקום משתנה — city-level למרות שיש פארק תואם ("ספורטק - חיפה"), לפי כלל דוד
tzav-jerusalem-wed,צו כושר — ירושלים,ירושלים,oikhb3QdCVu8uVhD0l4I,גן סאקר,רביעי,19:00,60,אסף דליטיצקי,,https://www.tzavcosher.com/,,reserve,,pending,,"דוד הכריע: ""מתקן כושר גן סאקר"" — התאמה ישירה לשם. isActive:false עד חזרה לפעילות באוקטובר"
tzav-modiin-wed,צו כושר — מודיעין,מודיעין-מכבים-רעות,,פארק אבני החושן,רביעי,21:00,60,שגיא וינברג,,https://www.tzavcosher.com/,,reserve,,active,,geocoding נכשל לגמרי (קפץ ל-מודיעין עילית) — city-level מ-authorities, לא מ-geocoding
tzav-pardes-hana-fri,צו כושר — פרדס חנה-כרכור (שישי),פרדס חנה-כרכור,,,שישי,06:00,60,,,https://www.tzavcosher.com/,,reserve,,active,מיקום משתנה — לפי הודעת הרכז,אין רכז — מאושר על ידי דוד. city-level, אין מיקום קבוע
